adhd_anx_bd_ud_scz_cog	adhd_anx_bd_ud_scz	adhd_anx_scz_ud_cog	adhd_bd_scz_ud_cog	anx_bd_scz_ud_cog	adhd_anx_bd_ud_cog	adhd_anx_bd_scz_cog	adhd_bd_scz_ud	anx_bd_ud_cog	anx_scz_ud_cog	bd_scz_ud_cog	anx_bd_scz_cog	anx_bd_scz_ud	adhd_scz_ud_cog	adhd_bd_ud_cog	adhd_bd_scz_cog	adhd_anx_ud_cog	adhd_anx_scz_cog	adhd_anx_scz_ud	adhd_anx_bd_cog	adhd_anx_bd_ud	adhd_anx_bd_scz	anx_bd_scz	adhd_scz_ud	anx_scz_ud	bd_scz_ud	bd_scz_cog	anx_ud_cog	scz_ud_cog	bd_ud_cog	anx_scz_cog	anx_bd_cog	anx_bd_ud	adhd_ud_cog	adhd_scz_cog	adhd_bd_cog	adhd_bd_ud	adhd_bd_scz	adhd_anx_cog	adhd_anx_ud	adhd_anx_scz	adhd_anx_bd	adhd_anx	bd_scz	anx_ud	bd_ud	scz_ud	anx_cog	bd_cog	ud_cog	scz_cog	anx_scz	anx_bd	adhd_cog	adhd_ud	adhd_scz	adhd_bd
0	0	0	0	0	0	0	2	1	2	3	0	1	1	0	0	0	2	0	0	2	0	4	6	3	11	4	6	10	10	8	3	6	7	3	3	8	2	4	3	2	2	12	23	25	33	38	29	25	38	30	24	19	19	25	19	21
0	0	0	0	1	1	0	0	3	2	2	2	2	1	1	2	2	1	0	1	2	0	4	3	6	6	8	10	9	7	6	5	9	7	7	5	3	4	3	10	2	5	21	28	41	24	28	22	23	42	39	22	24	24	23	17	17
0	0	0	0	0	1	0	0	1	1	1	1	1	3	3	0	2	1	0	1	1	1	4	7	4	8	6	6	7	5	6	3	4	9	7	7	4	3	5	5	2	3	15	28	23	27	31	24	24	28	40	20	21	26	28	22	18
0	0	0	0	1	0	1	1	2	3	2	2	2	0	0	1	0	1	2	1	1	2	5	8	12	8	8	8	7	9	7	3	6	2	2	4	2	6	2	5	8	4	17	34	34	32	36	24	30	32	34	29	18	15	22	24	14
0	0	0	0	1	0	0	0	1	5	2	1	2	1	0	0	0	0	1	1	2	0	4	4	10	7	4	5	11	5	11	5	6	6	2	5	5	3	1	7	2	5	19	27	26	37	37	23	22	30	34	31	18	22	23	16	21
1	1	1	1	1	1	2	2	2	1	3	3	2	1	2	4	3	2	1	2	1	2	6	5	11	7	9	6	7	9	6	9	7	4	7	9	5	9	4	3	5	2	14	30	33	29	39	22	29	32	27	30	21	23	18	23	24
0	0	0	0	1	0	0	1	1	4	2	3	3	1	1	1	1	1	1	0	2	0	7	5	11	12	10	9	11	9	10	4	9	6	6	4	5	2	2	6	2	4	16	33	33	43	37	27	29	34	39	27	21	21	20	23	18
0	0	0	0	1	0	0	1	3	3	3	1	1	0	1	0	0	2	4	0	0	0	3	10	10	6	10	11	9	9	8	3	6	3	3	3	4	3	3	5	9	2	18	28	31	31	40	25	27	37	35	27	20	16	25	25	16
0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	1	0	0	1	1	1	0	5	3	7	9	8	10	11	5	8	2	6	2	4	3	7	2	3	2	2	6	16	29	28	35	39	31	22	41	40	30	18	16	20	17	23
0	0	0	0	0	2	0	0	2	0	4	0	1	0	2	1	2	1	1	2	3	0	4	4	5	10	8	7	7	11	5	7	5	2	8	3	7	2	4	7	5	4	20	25	27	36	33	30	34	40	32	29	25	14	18	22	20
0	0	0	0	0	0	1	0	1	1	0	1	3	0	0	2	2	4	1	1	0	1	6	3	10	9	5	6	4	4	6	9	7	5	7	5	2	2	8	5	5	4	22	31	31	33	34	24	26	28	32	27	30	24	26	17	12
0	1	0	0	0	0	1	4	1	0	0	3	2	0	1	1	0	1	1	2	1	2	8	4	6	5	5	3	9	9	4	8	6	4	4	5	8	8	4	4	4	4	18	29	21	35	39	22	36	34	24	31	20	18	17	25	19
0	0	2	0	0	0	0	1	1	3	2	0	2	2	0	1	3	2	2	1	0	0	4	6	9	7	8	9	13	8	8	4	6	5	4	5	4	4	5	4	4	2	13	26	29	30	48	27	31	38	39	27	16	16	22	22	20
0	0	0	0	0	0	1	2	2	3	3	3	1	1	1	1	1	1	1	4	1	1	8	6	8	7	12	8	13	8	10	13	7	7	4	5	5	4	5	5	5	8	23	34	33	28	34	28	37	39	48	28	28	22	28	20	15
0	0	1	0	1	0	0	1	2	3	1	2	1	2	1	1	1	2	2	1	0	1	7	6	10	4	6	8	8	9	11	6	6	4	9	3	3	4	5	5	5	4	17	23	32	32	31	27	25	31	40	32	23	21	25	22	16
0	0	0	0	0	0	0	1	1	1	2	1	1	1	0	0	0	1	1	0	1	1	6	11	6	7	8	5	8	4	4	5	5	4	3	4	4	3	4	7	5	3	20	31	31	28	47	23	26	30	24	23	24	20	28	21	21
1	1	2	1	1	1	1	1	1	4	2	4	3	2	2	1	3	5	2	2	1	2	11	5	11	6	9	8	9	12	11	6	4	4	7	6	2	3	9	6	9	4	24	33	32	28	32	23	37	35	33	37	20	20	17	20	15
0	0	0	1	0	0	0	2	0	2	2	0	1	1	2	1	1	1	0	2	1	1	3	4	5	9	5	8	11	6	9	5	5	3	6	5	5	6	5	5	3	5	15	24	23	32	36	24	30	37	35	29	21	17	17	26	20
0	0	0	0	0	0	0	0	2	2	1	1	1	1	0	3	0	1	0	0	2	0	6	3	7	6	13	5	11	8	4	4	8	3	7	4	5	4	4	6	1	4	19	35	31	35	36	24	32	35	35	24	20	24	24	18	18
0	1	0	0	0	0	0	2	0	0	1	0	2	1	0	0	2	1	1	0	3	2	5	4	7	7	5	4	8	3	4	1	7	6	3	2	6	3	5	9	4	4	18	24	26	27	41	19	26	30	35	28	20	20	26	17	20
0	0	1	0	0	0	0	2	3	1	2	0	0	1	0	0	1	1	2	0	0	1	5	5	3	10	7	10	12	8	3	7	7	3	2	1	2	5	1	8	5	4	18	35	28	29	36	24	28	40	32	25	24	15	19	17	17
0	0	0	0	0	0	0	0	1	0	2	3	2	2	2	1	1	0	0	0	1	1	7	5	8	7	11	5	10	10	6	9	7	9	5	3	6	2	4	6	1	3	19	27	30	31	36	26	33	34	42	24	24	22	27	15	14
0	1	0	1	0	0	0	2	0	1	1	0	3	1	2	1	1	0	1	2	2	2	6	6	10	10	1	7	7	5	5	6	6	6	3	7	8	4	4	3	3	7	17	27	29	34	44	23	26	39	26	30	28	17	21	20	22
0	1	0	0	1	0	0	1	1	1	3	2	2	0	0	1	0	0	3	2	3	1	6	6	9	10	12	4	5	6	3	9	6	4	5	6	4	3	2	6	5	7	19	30	25	36	35	25	37	28	32	25	28	17	21	19	21
0	0	1	0	0	0	1	0	0	3	1	1	4	1	1	4	3	3	1	1	0	1	8	4	12	10	12	8	9	4	9	3	6	9	8	6	5	4	5	7	5	2	14	35	31	25	39	26	30	34	40	33	19	25	29	23	20
0	0	0	0	0	1	0	1	3	3	1	0	4	0	1	0	2	1	0	2	1	0	7	5	9	12	6	9	7	9	7	6	11	4	5	3	6	4	6	4	3	3	19	35	35	37	43	30	31	30	28	23	29	21	20	21	18
0	0	0	0	1	0	1	0	3	1	1	4	1	2	0	3	1	1	0	1	1	1	10	3	2	5	9	4	6	4	8	10	9	6	7	4	5	5	2	4	3	2	15	32	20	32	29	31	29	28	36	24	34	14	25	19	25
0	1	0	1	1	0	0	4	1	1	6	2	4	2	2	1	0	1	1	0	1	2	11	8	5	13	13	5	11	11	6	3	10	5	6	3	6	6	2	3	4	3	16	34	30	41	37	21	29	35	40	27	24	21	23	21	16
0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	2	2	1	1	2	0	0	2	4	5	5	6	6	5	9	4	8	6	8	5	7	2	4	6	4	2	3	18	27	26	31	37	24	31	40	27	19	23	24	20	17	16
0	0	0	0	1	0	1	0	1	1	4	2	3	1	0	1	2	2	0	1	1	2	8	2	4	12	7	5	6	6	7	4	7	4	5	1	3	3	7	9	7	4	24	34	26	35	31	25	23	23	29	29	25	16	24	22	13
0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	2	1	0	1	0	6	3	5	7	7	3	12	6	5	0	3	5	5	1	6	5	6	6	8	3	22	33	23	31	35	21	18	37	32	29	20	24	23	23	18
0	0	0	0	0	0	0	1	3	1	3	1	1	4	2	1	0	0	1	1	0	0	5	12	5	7	12	6	9	9	6	9	7	8	5	6	4	2	2	1	4	2	14	31	29	33	37	27	33	30	30	31	22	19	30	22	22
