Category	Phenotype	Number	Percentage
ncRNA	ADHD	2	3
exonic	ADHD	3	5
intergenic	ADHD	24	39
intronic	ADHD	33	53
ncRNA	Anxiety	6	4
exonic	Anxiety	6	4
intergenic	Anxiety	44	33
intronic	Anxiety	78	58
ncRNA	BD	10	7
exonic	BD	8	5
intergenic	BD	55	37
intronic	BD	77	51
ncRNA	UD	23	4
exonic	UD	19	4
intergenic	UD	268	52
intronic	UD	205	40
ncRNA	SCZ	42	7
exonic	SCZ	29	5
intergenic	SCZ	249	42
intronic	SCZ	273	46
ncRNA	Cognition	30	5
exonic	Cognition	33	5
intergenic	Cognition	262	41
intronic	Cognition	309	49
