Phenotype	System	New_tissue	Tissue	Number	Interactions	Total	Percentage
ADHD	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	42	< 1Mb	47	89,36
ADHD	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	5	>= 1Mb	47	10,64
ADHD	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	0	inter-chrom	47	0,00
ADHD	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	29	< 1Mb	33	87,88
ADHD	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	4	>= 1Mb	33	12,12
ADHD	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	0	inter-chrom	33	0,00
ADHD	Endocrine system	Adrenal Gland	Adrenal_Gland	14	< 1Mb	15	93,33
ADHD	Endocrine system	Adrenal Gland	Adrenal_Gland	1	>= 1Mb	15	6,67
ADHD	Endocrine system	Adrenal Gland	Adrenal_Gland	0	inter-chrom	15	0,00
ADHD	Circulatory system	Artery - Aorta	Artery_Aorta	37	< 1Mb	44	84,09
ADHD	Circulatory system	Artery - Aorta	Artery_Aorta	3	>= 1Mb	44	6,82
ADHD	Circulatory system	Artery - Aorta	Artery_Aorta	4	inter-chrom	44	9,09
ADHD	Circulatory system	Artery - Coronary	Artery_Coronary	12	< 1Mb	13	92,31
ADHD	Circulatory system	Artery - Coronary	Artery_Coronary	0	>= 1Mb	13	0,00
ADHD	Circulatory system	Artery - Coronary	Artery_Coronary	1	inter-chrom	13	7,69
ADHD	Circulatory system	Artery - Tibial	Artery_Tibial	49	< 1Mb	56	87,50
ADHD	Circulatory system	Artery - Tibial	Artery_Tibial	5	>= 1Mb	56	8,93
ADHD	Circulatory system	Artery - Tibial	Artery_Tibial	2	inter-chrom	56	3,57
ADHD	Nervous System	Brain - Amygdala	Brain_Amygdala	4	< 1Mb	8	50,00
ADHD	Nervous System	Brain - Amygdala	Brain_Amygdala	3	>= 1Mb	8	37,50
ADHD	Nervous System	Brain - Amygdala	Brain_Amygdala	1	inter-chrom	8	12,50
ADHD	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	2	< 1Mb	3	66,67
ADHD	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	0	>= 1Mb	3	0,00
ADHD	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	1	inter-chrom	3	33,33
ADHD	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	6	< 1Mb	7	85,71
ADHD	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	1	>= 1Mb	7	14,29
ADHD	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	0	inter-chrom	7	0,00
ADHD	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	12	< 1Mb	19	63,16
ADHD	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	7	>= 1Mb	19	36,84
ADHD	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	0	inter-chrom	19	0,00
ADHD	Nervous System	Brain - Cerebellum	Brain_Cerebellum	24	< 1Mb	34	70,59
ADHD	Nervous System	Brain - Cerebellum	Brain_Cerebellum	8	>= 1Mb	34	23,53
ADHD	Nervous System	Brain - Cerebellum	Brain_Cerebellum	2	inter-chrom	34	5,88
ADHD	Nervous System	Brain - Cortex	Brain_Cortex	10	< 1Mb	16	62,50
ADHD	Nervous System	Brain - Cortex	Brain_Cortex	2	>= 1Mb	16	12,50
ADHD	Nervous System	Brain - Cortex	Brain_Cortex	4	inter-chrom	16	25,00
ADHD	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	5	< 1Mb	10	50,00
ADHD	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	3	>= 1Mb	10	30,00
ADHD	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	2	inter-chrom	10	20,00
ADHD	Nervous System	Brain - Hippocampus	Brain_Hippocampus	8	< 1Mb	9	88,89
ADHD	Nervous System	Brain - Hippocampus	Brain_Hippocampus	0	>= 1Mb	9	0,00
ADHD	Nervous System	Brain - Hippocampus	Brain_Hippocampus	1	inter-chrom	9	11,11
ADHD	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	4	< 1Mb	6	66,67
ADHD	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	2	>= 1Mb	6	33,33
ADHD	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	0	inter-chrom	6	0,00
ADHD	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	4	< 1Mb	6	66,67
ADHD	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	1	>= 1Mb	6	16,67
ADHD	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	1	inter-chrom	6	16,67
ADHD	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	4	< 1Mb	4	100,00
ADHD	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	0	>= 1Mb	4	0,00
ADHD	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	0	inter-chrom	4	0,00
ADHD	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	0	< 1Mb	1	0,00
ADHD	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	1	>= 1Mb	1	100,00
ADHD	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	0	inter-chrom	1	0,00
ADHD	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	2	< 1Mb	2	100,00
ADHD	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	0	>= 1Mb	2	0,00
ADHD	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	0	inter-chrom	2	0,00
ADHD	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	27	< 1Mb	33	81,82
ADHD	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	2	>= 1Mb	33	6,06
ADHD	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	4	inter-chrom	33	12,12
ADHD	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	6	< 1Mb	8	75,00
ADHD	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	2	>= 1Mb	8	25,00
ADHD	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	0	inter-chrom	8	0,00
ADHD	Transformed cells	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts	38	< 1Mb	47	80,85
ADHD	Transformed cells	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts	6	>= 1Mb	47	12,77
