Phenotype	System	New_tissue	Tissue	Number	Interactions	Percentage	Total
Anx	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	143	< 1Mb	92,26	155
Anx	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	9	>= 1Mb	5,81	155
Anx	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	3	inter-chrom	1,94	155
Anx	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	104	< 1Mb	91,23	114
Anx	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	6	>= 1Mb	5,26	114
Anx	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	4	inter-chrom	3,51	114
Anx	Circulatory system	Artery - Aorta	Artery_Aorta	115	< 1Mb	92,00	125
Anx	Circulatory system	Artery - Aorta	Artery_Aorta	7	>= 1Mb	5,60	125
Anx	Circulatory system	Artery - Aorta	Artery_Aorta	3	inter-chrom	2,40	125
Anx	Circulatory system	Artery - Coronary	Artery_Coronary	50	< 1Mb	83,33	60
Anx	Circulatory system	Artery - Coronary	Artery_Coronary	6	>= 1Mb	10,00	60
Anx	Circulatory system	Artery - Coronary	Artery_Coronary	4	inter-chrom	6,67	60
Anx	Circulatory system	Artery - Tibial	Artery_Tibial	145	< 1Mb	93,55	155
Anx	Circulatory system	Artery - Tibial	Artery_Tibial	9	>= 1Mb	5,81	155
Anx	Circulatory system	Artery - Tibial	Artery_Tibial	1	inter-chrom	0,65	155
Anx	Circulatory system	Heart - Atrial Appendage	Heart_Atrial_Appendage	93	< 1Mb	92,08	101
Anx	Circulatory system	Heart - Atrial Appendage	Heart_Atrial_Appendage	5	>= 1Mb	4,95	101
Anx	Circulatory system	Heart - Atrial Appendage	Heart_Atrial_Appendage	3	inter-chrom	2,97	101
Anx	Circulatory system	Heart - Left Ventricle	Heart_Left_Ventricle	90	< 1Mb	89,11	101
Anx	Circulatory system	Heart - Left Ventricle	Heart_Left_Ventricle	8	>= 1Mb	7,92	101
Anx	Circulatory system	Heart - Left Ventricle	Heart_Left_Ventricle	3	inter-chrom	2,97	101
Anx	Circulatory system	Whole Blood	Whole_Blood	118	< 1Mb	93,65	126
Anx	Circulatory system	Whole Blood	Whole_Blood	4	>= 1Mb	3,17	126
Anx	Circulatory system	Whole Blood	Whole_Blood	4	inter-chrom	3,17	126
Anx	Digestive system	Colon - Sigmoid	Colon_Sigmoid	74	< 1Mb	90,24	82
Anx	Digestive system	Colon - Sigmoid	Colon_Sigmoid	4	>= 1Mb	4,88	82
Anx	Digestive system	Colon - Sigmoid	Colon_Sigmoid	4	inter-chrom	4,88	82
Anx	Digestive system	Colon - Transverse	Colon_Transverse	97	< 1Mb	91,51	106
Anx	Digestive system	Colon - Transverse	Colon_Transverse	8	>= 1Mb	7,55	106
Anx	Digestive system	Colon - Transverse	Colon_Transverse	1	inter-chrom	0,94	106
Anx	Digestive system	Esophagus - Gastroesophageal Junction	Esophagus_Gastroesophageal_Junction	84	< 1Mb	84,85	99
Anx	Digestive system	Esophagus - Gastroesophageal Junction	Esophagus_Gastroesophageal_Junction	6	>= 1Mb	6,06	99
Anx	Digestive system	Esophagus - Gastroesophageal Junction	Esophagus_Gastroesophageal_Junction	9	inter-chrom	9,09	99
Anx	Digestive system	Esophagus - Mucosa	Esophagus_Mucosa	161	< 1Mb	93,06	173
Anx	Digestive system	Esophagus - Mucosa	Esophagus_Mucosa	10	>= 1Mb	5,78	173
Anx	Digestive system	Esophagus - Mucosa	Esophagus_Mucosa	2	inter-chrom	1,16	173
Anx	Digestive system	Esophagus - Muscularis	Esophagus_Muscularis	120	< 1Mb	90,23	133
Anx	Digestive system	Esophagus - Muscularis	Esophagus_Muscularis	10	>= 1Mb	7,52	133
Anx	Digestive system	Esophagus - Muscularis	Esophagus_Muscularis	3	inter-chrom	2,26	133
Anx	Digestive system	Liver	Liver	49	< 1Mb	94,23	52
Anx	Digestive system	Liver	Liver	2	>= 1Mb	3,85	52
Anx	Digestive system	Liver	Liver	1	inter-chrom	1,92	52
Anx	Digestive system	Small Intestine - Terminal Ileum	Small_Intestine_Terminal_Ileum	62	< 1Mb	87,32	71
Anx	Digestive system	Small Intestine - Terminal Ileum	Small_Intestine_Terminal_Ileum	4	>= 1Mb	5,63	71
Anx	Digestive system	Small Intestine - Terminal Ileum	Small_Intestine_Terminal_Ileum	5	inter-chrom	7,04	71
Anx	Digestive system	Stomach	Stomach	54	< 1Mb	80,60	67
Anx	Digestive system	Stomach	Stomach	9	>= 1Mb	13,43	67
Anx	Digestive system	Stomach	Stomach	4	inter-chrom	5,97	67
Anx	Endocrine system	Adrenal Gland	Adrenal_Gland	66	< 1Mb	88,00	75
Anx	Endocrine system	Adrenal Gland	Adrenal_Gland	6	>= 1Mb	8,00	75
Anx	Endocrine system	Adrenal Gland	Adrenal_Gland	3	inter-chrom	4,00	75
Anx	Endocrine system	Pancreas	Pancreas	68	< 1Mb	83,95	81
Anx	Endocrine system	Pancreas	Pancreas	8	>= 1Mb	9,88	81
Anx	Endocrine system	Pancreas	Pancreas	5	inter-chrom	6,17	81
Anx	Endocrine system	Pituitary	Pituitary	90	< 1Mb	90,00	100
Anx	Endocrine system	Pituitary	Pituitary	8	>= 1Mb	8,00	100
Anx	Endocrine system	Pituitary	Pituitary	2	inter-chrom	2,00	100
Anx	Endocrine system	Thyroid	Thyroid	184	< 1Mb	90,64	203
Anx	Endocrine system	Thyroid	Thyroid	16	>= 1Mb	7,88	203
Anx	Endocrine system	Thyroid	Thyroid	3	inter-chrom	1,48	203
Anx	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	88	< 1Mb	90,72	97
Anx	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	8	>= 1Mb	8,25	97
Anx	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	1	inter-chrom	1,03	97
Anx	Exocrine system	Minor Salivary Gland	Minor_Salivary_Gland	26	< 1Mb	78,79	33
Anx	Exocrine system	Minor Salivary Gland	Minor_Salivary_Gland	3	>= 1Mb	9,09	33
Anx	Exocrine system	Minor Salivary Gland	Minor_Salivary_Gland	4	inter-chrom	12,12	33
Anx	Exocrine system	Skin - Not Sun Exposed (Suprapubic)	Skin_Not_Sun_Exposed_Suprapubic	134	< 1Mb	93,06	144
Anx	Exocrine system	Skin - Not Sun Exposed (Suprapubic)	Skin_Not_Sun_Exposed_Suprapubic	8	>= 1Mb	5,56	144
Anx	Exocrine system	Skin - Not Sun Exposed (Suprapubic)	Skin_Not_Sun_Exposed_Suprapubic	2	inter-chrom	1,39	144
Anx	Exocrine system	Skin - Sun Exposed (Lower leg)	Skin_Sun_Exposed_Lower_leg	172	< 1Mb	91,98	187
Anx	Exocrine system	Skin - Sun Exposed (Lower leg)	Skin_Sun_Exposed_Lower_leg	9	>= 1Mb	4,81	187
Anx	Exocrine system	Skin - Sun Exposed (Lower leg)	Skin_Sun_Exposed_Lower_leg	6	inter-chrom	3,21	187
Anx	Lymphatic system	Spleen	Spleen	64	< 1Mb	87,67	73
Anx	Lymphatic system	Spleen	Spleen	6	>= 1Mb	8,22	73
Anx	Lymphatic system	Spleen	Spleen	3	inter-chrom	4,11	73
Anx	Muscular system	Muscle - Skeletal	Muscle_Skeletal	148	< 1Mb	93,67	158
Anx	Muscular system	Muscle - Skeletal	Muscle_Skeletal	7	>= 1Mb	4,43	158
Anx	Muscular system	Muscle - Skeletal	Muscle_Skeletal	3	inter-chrom	1,90	158
Anx	Nervous System	Brain - Amygdala	Brain_Amygdala	30	< 1Mb	76,92	39
Anx	Nervous System	Brain - Amygdala	Brain_Amygdala	4	>= 1Mb	10,26	39
Anx	Nervous System	Brain - Amygdala	Brain_Amygdala	5	inter-chrom	12,82	39
Anx	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	54	< 1Mb	85,71	63
Anx	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	4	>= 1Mb	6,35	63
Anx	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	5	inter-chrom	7,94	63
Anx	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	59	< 1Mb	90,77	65
Anx	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	3	>= 1Mb	4,62	65
Anx	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	3	inter-chrom	4,62	65
Anx	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	96	< 1Mb	88,07	109
Anx	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	8	>= 1Mb	7,34	109
Anx	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	5	inter-chrom	4,59	109
Anx	Nervous System	Brain - Cerebellum	Brain_Cerebellum	143	< 1Mb	89,38	160
Anx	Nervous System	Brain - Cerebellum	Brain_Cerebellum	13	>= 1Mb	8,13	160
Anx	Nervous System	Brain - Cerebellum	Brain_Cerebellum	4	inter-chrom	2,50	160
Anx	Nervous System	Brain - Cortex	Brain_Cortex	68	< 1Mb	89,47	76
Anx	Nervous System	Brain - Cortex	Brain_Cortex	7	>= 1Mb	9,21	76
Anx	Nervous System	Brain - Cortex	Brain_Cortex	1	inter-chrom	1,32	76
Anx	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	57	< 1Mb	89,06	64
Anx	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	7	>= 1Mb	10,94	64
Anx	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	0	inter-chrom	0,00	64
Anx	Nervous System	Brain - Hippocampus	Brain_Hippocampus	44	< 1Mb	86,27	51
Anx	Nervous System	Brain - Hippocampus	Brain_Hippocampus	3	>= 1Mb	5,88	51
Anx	Nervous System	Brain - Hippocampus	Brain_Hippocampus	4	inter-chrom	7,84	51
Anx	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	33	< 1Mb	82,50	40
Anx	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	3	>= 1Mb	7,50	40
Anx	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	4	inter-chrom	10,00	40
Anx	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	65	< 1Mb	85,53	76
Anx	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	6	>= 1Mb	7,89	76
Anx	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	5	inter-chrom	6,58	76
Anx	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	53	< 1Mb	89,83	59
Anx	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	4	>= 1Mb	6,78	59
Anx	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	2	inter-chrom	3,39	59
Anx	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	34	< 1Mb	77,27	44
Anx	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	6	>= 1Mb	13,64	44
Anx	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	4	inter-chrom	9,09	44
Anx	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	14	< 1Mb	66,67	21
Anx	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	5	>= 1Mb	23,81	21
Anx	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	2	inter-chrom	9,52	21
Anx	Nervous System	Nerve - Tibial	Nerve_Tibial	166	< 1Mb	92,74	179
Anx	Nervous System	Nerve - Tibial	Nerve_Tibial	9	>= 1Mb	5,03	179
Anx	Nervous System	Nerve - Tibial	Nerve_Tibial	4	inter-chrom	2,23	179
Anx	Reproductive system	Ovary	Ovary	40	< 1Mb	85,11	47
Anx	Reproductive system	Ovary	Ovary	5	>= 1Mb	10,64	47
Anx	Reproductive system	Ovary	Ovary	2	inter-chrom	4,26	47
Anx	Reproductive system	Prostate	Prostate	44	< 1Mb	81,48	54
Anx	Reproductive system	Prostate	Prostate	4	>= 1Mb	7,41	54
Anx	Reproductive system	Prostate	Prostate	6	inter-chrom	11,11	54
Anx	Reproductive system	Testis	Testis	136	< 1Mb	91,89	148
Anx	Reproductive system	Testis	Testis	8	>= 1Mb	5,41	148
Anx	Reproductive system	Testis	Testis	4	inter-chrom	2,70	148
Anx	Reproductive system	Uterus	Uterus	33	< 1Mb	84,62	39
Anx	Reproductive system	Uterus	Uterus	5	>= 1Mb	12,82	39
Anx	Reproductive system	Uterus	Uterus	1	inter-chrom	2,56	39
Anx	Reproductive system	Vagina	Vagina	40	< 1Mb	86,96	46
Anx	Reproductive system	Vagina	Vagina	5	>= 1Mb	10,87	46
Anx	Reproductive system	Vagina	Vagina	1	inter-chrom	2,17	46
Anx	Respiratory system	Lung	Lung	158	< 1Mb	93,49	169
Anx	Respiratory system	Lung	Lung	9	>= 1Mb	5,33	169
Anx	Respiratory system	Lung	Lung	2	inter-chrom	1,18	169
Anx	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	51	< 1Mb	87,93	58
Anx	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	4	>= 1Mb	6,90	58
Anx	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	3	inter-chrom	5,17	58
Anx	Transformed cells	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts	143	< 1Mb	92,26	155
Anx	Transformed cells	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts	9	>= 1Mb	5,81	155
Anx	Transformed cells	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts	3	inter-chrom	1,94	155
