Phenotype	System	New_tissue	Tissue	Number	Interactions	Percentage	Total
BD	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	87	< 1Mb	89,69	97
BD	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	9	>= 1Mb	9,28	97
BD	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	1	inter-chrom	1,03	97
BD	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	58	< 1Mb	89,23	65
BD	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	6	>= 1Mb	9,23	65
BD	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	1	inter-chrom	1,54	65
BD	Endocrine system	Adrenal Gland	Adrenal_Gland	25	< 1Mb	83,33	30
BD	Endocrine system	Adrenal Gland	Adrenal_Gland	4	>= 1Mb	13,33	30
BD	Endocrine system	Adrenal Gland	Adrenal_Gland	1	inter-chrom	3,33	30
BD	Circulatory system	Artery - Aorta	Artery_Aorta	97	< 1Mb	90,65	107
BD	Circulatory system	Artery - Aorta	Artery_Aorta	7	>= 1Mb	6,54	107
BD	Circulatory system	Artery - Aorta	Artery_Aorta	3	inter-chrom	2,80	107
BD	Circulatory system	Artery - Coronary	Artery_Coronary	21	< 1Mb	87,50	24
BD	Circulatory system	Artery - Coronary	Artery_Coronary	2	>= 1Mb	8,33	24
BD	Circulatory system	Artery - Coronary	Artery_Coronary	1	inter-chrom	4,17	24
BD	Circulatory system	Artery - Tibial	Artery_Tibial	122	< 1Mb	91,04	134
BD	Circulatory system	Artery - Tibial	Artery_Tibial	9	>= 1Mb	6,72	134
BD	Circulatory system	Artery - Tibial	Artery_Tibial	3	inter-chrom	2,24	134
BD	Nervous System	Brain - Amygdala	Brain_Amygdala	2	< 1Mb	33,33	6
BD	Nervous System	Brain - Amygdala	Brain_Amygdala	3	>= 1Mb	50,00	6
BD	Nervous System	Brain - Amygdala	Brain_Amygdala	1	inter-chrom	16,67	6
BD	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	2	< 1Mb	28,57	7
BD	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	2	>= 1Mb	28,57	7
BD	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	3	inter-chrom	42,86	7
BD	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	17	< 1Mb	65,38	26
BD	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	4	>= 1Mb	15,38	26
BD	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	5	inter-chrom	19,23	26
BD	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	29	< 1Mb	74,36	39
BD	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	10	>= 1Mb	25,64	39
BD	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	0	inter-chrom	0,00	39
BD	Nervous System	Brain - Cerebellum	Brain_Cerebellum	54	< 1Mb	84,38	64
BD	Nervous System	Brain - Cerebellum	Brain_Cerebellum	8	>= 1Mb	12,50	64
BD	Nervous System	Brain - Cerebellum	Brain_Cerebellum	2	inter-chrom	3,13	64
BD	Nervous System	Brain - Cortex	Brain_Cortex	23	< 1Mb	85,19	27
BD	Nervous System	Brain - Cortex	Brain_Cortex	2	>= 1Mb	7,41	27
BD	Nervous System	Brain - Cortex	Brain_Cortex	2	inter-chrom	7,41	27
BD	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	11	< 1Mb	64,71	17
BD	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	4	>= 1Mb	23,53	17
BD	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	2	inter-chrom	11,76	17
BD	Nervous System	Brain - Hippocampus	Brain_Hippocampus	10	< 1Mb	100,00	10
BD	Nervous System	Brain - Hippocampus	Brain_Hippocampus	0	>= 1Mb	0,00	10
BD	Nervous System	Brain - Hippocampus	Brain_Hippocampus	0	inter-chrom	0,00	10
BD	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	8	< 1Mb	61,54	13
BD	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	4	>= 1Mb	30,77	13
BD	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	1	inter-chrom	7,69	13
BD	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	16	< 1Mb	84,21	19
BD	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	2	>= 1Mb	10,53	19
BD	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	1	inter-chrom	5,26	19
BD	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	13	< 1Mb	100,00	13
