Phenotype	System	New_tissue	Tissue	Number	Interactions	Total	Percentage
Cognition	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	435	< 1Mb	466	93,35
Cognition	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	24	>= 1Mb	466	5,15
Cognition	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	7	inter-chrom	466	1,50
Cognition	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	285	< 1Mb	317	89,91
Cognition	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	23	>= 1Mb	317	7,26
Cognition	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	9	inter-chrom	317	2,84
Cognition	Endocrine system	Adrenal Gland	Adrenal_Gland	193	< 1Mb	218	88,53
Cognition	Endocrine system	Adrenal Gland	Adrenal_Gland	17	>= 1Mb	218	7,80
Cognition	Endocrine system	Adrenal Gland	Adrenal_Gland	8	inter-chrom	218	3,67
Cognition	Circulatory system	Artery - Aorta	Artery_Aorta	379	< 1Mb	400	94,75
Cognition	Circulatory system	Artery - Aorta	Artery_Aorta	18	>= 1Mb	400	4,50
Cognition	Circulatory system	Artery - Aorta	Artery_Aorta	3	inter-chrom	400	0,75
Cognition	Circulatory system	Artery - Coronary	Artery_Coronary	140	< 1Mb	166	84,34
Cognition	Circulatory system	Artery - Coronary	Artery_Coronary	17	>= 1Mb	166	10,24
Cognition	Circulatory system	Artery - Coronary	Artery_Coronary	9	inter-chrom	166	5,42
Cognition	Circulatory system	Artery - Tibial	Artery_Tibial	511	< 1Mb	539	94,81
Cognition	Circulatory system	Artery - Tibial	Artery_Tibial	25	>= 1Mb	539	4,64
Cognition	Circulatory system	Artery - Tibial	Artery_Tibial	3	inter-chrom	539	0,56
Cognition	Nervous System	Brain - Amygdala	Brain_Amygdala	69	< 1Mb	93	74,19
Cognition	Nervous System	Brain - Amygdala	Brain_Amygdala	13	>= 1Mb	93	13,98
Cognition	Nervous System	Brain - Amygdala	Brain_Amygdala	11	inter-chrom	93	11,83
Cognition	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	113	< 1Mb	132	85,61
Cognition	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	13	>= 1Mb	132	9,85
Cognition	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	6	inter-chrom	132	4,55
Cognition	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	135	< 1Mb	152	88,82
Cognition	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	9	>= 1Mb	152	5,92
Cognition	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	8	inter-chrom	152	5,26
Cognition	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	208	< 1Mb	243	85,60
Cognition	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	23	>= 1Mb	243	9,47
Cognition	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	12	inter-chrom	243	4,94
Cognition	Nervous System	Brain - Cerebellum	Brain_Cerebellum	312	< 1Mb	354	88,14
Cognition	Nervous System	Brain - Cerebellum	Brain_Cerebellum	32	>= 1Mb	354	9,04
Cognition	Nervous System	Brain - Cerebellum	Brain_Cerebellum	10	inter-chrom	354	2,82
Cognition	Nervous System	Brain - Cortex	Brain_Cortex	175	< 1Mb	203	86,21
Cognition	Nervous System	Brain - Cortex	Brain_Cortex	22	>= 1Mb	203	10,84
Cognition	Nervous System	Brain - Cortex	Brain_Cortex	6	inter-chrom	203	2,96
Cognition	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	110	< 1Mb	130	84,62
Cognition	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	7	>= 1Mb	130	5,38
Cognition	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	13	inter-chrom	130	10,00
Cognition	Nervous System	Brain - Hippocampus	Brain_Hippocampus	79	< 1Mb	97	81,44
Cognition	Nervous System	Brain - Hippocampus	Brain_Hippocampus	9	>= 1Mb	97	9,28
Cognition	Nervous System	Brain - Hippocampus	Brain_Hippocampus	9	inter-chrom	97	9,28
Cognition	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	90	< 1Mb	113	79,65
Cognition	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	11	>= 1Mb	113	9,73
Cognition	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	12	inter-chrom	113	10,62
Cognition	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	135	< 1Mb	157	85,99
Cognition	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	15	>= 1Mb	157	9,55
Cognition	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	7	inter-chrom	157	4,46
Cognition	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	100	< 1Mb	119	84,03
Cognition	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	10	>= 1Mb	119	8,40
Cognition	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	9	inter-chrom	119	7,56
Cognition	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	85	< 1Mb	112	75,89
Cognition	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	8	>= 1Mb	112	7,14
Cognition	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	19	inter-chrom	112	16,96
Cognition	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	53	< 1Mb	71	74,65
Cognition	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	3	>= 1Mb	71	4,23
Cognition	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	15	inter-chrom	71	21,13
Cognition	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	240	< 1Mb	268	89,55
Cognition	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	16	>= 1Mb	268	5,97
Cognition	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	12	inter-chrom	268	4,48
Cognition	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	92	< 1Mb	109	84,40
Cognition	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	10	>= 1Mb	109	9,17
Cognition	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	7	inter-chrom	109	6,42
Cognition	Transformed cells	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts	365	< 1Mb	393	92,88
Cognition	Transformed cells	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts	22	>= 1Mb	393	5,60
Cognition	Transformed cells	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts	6	inter-chrom	393	1,53
Cognition	Digestive system	Colon - Sigmoid	Colon_Sigmoid	224	< 1Mb	247	90,69
Cognition	Digestive system	Colon - Sigmoid	Colon_Sigmoid	16	>= 1Mb	247	6,48
Cognition	Digestive system	Colon - Sigmoid	Colon_Sigmoid	7	inter-chrom	247	2,83
Cognition	Digestive system	Colon - Transverse	Colon_Transverse	239	< 1Mb	258	92,64
Cognition	Digestive system	Colon - Transverse	Colon_Transverse	14	>= 1Mb	258	5,43
Cognition	Digestive system	Colon - Transverse	Colon_Transverse	5	inter-chrom	258	1,94
Cognition	Digestive system	Esophagus - Gastroesophageal Junction	Esophagus_Gastroesophageal_Junction	237	< 1Mb	270	87,78
Cognition	Digestive system	Esophagus - Gastroesophageal Junction	Esophagus_Gastroesophageal_Junction	14	>= 1Mb	270	5,19
Cognition	Digestive system	Esophagus - Gastroesophageal Junction	Esophagus_Gastroesophageal_Junction	19	inter-chrom	270	7,04
Cognition	Digestive system	Esophagus - Mucosa	Esophagus_Mucosa	444	< 1Mb	481	92,31
Cognition	Digestive system	Esophagus - Mucosa	Esophagus_Mucosa	27	>= 1Mb	481	5,61
Cognition	Digestive system	Esophagus - Mucosa	Esophagus_Mucosa	10	inter-chrom	481	2,08
Cognition	Digestive system	Esophagus - Muscularis	Esophagus_Muscularis	436	< 1Mb	465	93,76
Cognition	Digestive system	Esophagus - Muscularis	Esophagus_Muscularis	22	>= 1Mb	465	4,73
Cognition	Digestive system	Esophagus - Muscularis	Esophagus_Muscularis	7	inter-chrom	465	1,51
Cognition	Circulatory system	Heart - Atrial Appendage	Heart_Atrial_Appendage	251	< 1Mb	274	91,61
