Phenotype	System	New_tissue	Tissue	Number	Interactions	Total	Percentage
SCH	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	398	< 1Mb	455	87,47
SCH	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	49	>= 1Mb	455	10,77
SCH	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	8	inter-chrom	455	1,76
SCH	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	308	< 1Mb	362	85,08
SCH	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	43	>= 1Mb	362	11,88
SCH	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	11	inter-chrom	362	3,04
SCH	Endocrine system	Adrenal Gland	Adrenal_Gland	127	< 1Mb	158	80,38
SCH	Endocrine system	Adrenal Gland	Adrenal_Gland	22	>= 1Mb	158	13,92
SCH	Endocrine system	Adrenal Gland	Adrenal_Gland	9	inter-chrom	158	5,70
SCH	Circulatory system	Artery - Aorta	Artery_Aorta	312	< 1Mb	353	88,39
SCH	Circulatory system	Artery - Aorta	Artery_Aorta	30	>= 1Mb	353	8,50
SCH	Circulatory system	Artery - Aorta	Artery_Aorta	11	inter-chrom	353	3,12
SCH	Circulatory system	Artery - Coronary	Artery_Coronary	101	< 1Mb	129	78,29
SCH	Circulatory system	Artery - Coronary	Artery_Coronary	20	>= 1Mb	129	15,50
SCH	Circulatory system	Artery - Coronary	Artery_Coronary	8	inter-chrom	129	6,20
SCH	Circulatory system	Artery - Tibial	Artery_Tibial	433	< 1Mb	478	90,59
SCH	Circulatory system	Artery - Tibial	Artery_Tibial	39	>= 1Mb	478	8,16
SCH	Circulatory system	Artery - Tibial	Artery_Tibial	6	inter-chrom	478	1,26
SCH	Nervous System	Brain - Amygdala	Brain_Amygdala	33	< 1Mb	45	73,33
SCH	Nervous System	Brain - Amygdala	Brain_Amygdala	3	>= 1Mb	45	6,67
SCH	Nervous System	Brain - Amygdala	Brain_Amygdala	9	inter-chrom	45	20,00
SCH	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	62	< 1Mb	73	84,93
SCH	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	2	>= 1Mb	73	2,74
SCH	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	9	inter-chrom	73	12,33
SCH	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	94	< 1Mb	111	84,68
SCH	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	6	>= 1Mb	111	5,41
SCH	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	11	inter-chrom	111	9,91
SCH	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	173	< 1Mb	216	80,09
