Phenotype	System	New_tissue	Tissue	Number	Interactions	Total	Percentage
UD	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	332	< 1Mb	412	80,58
UD	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	73	>= 1Mb	412	17,72
UD	Body fat	Adipose - Subcutaneous	Adipose_Subcutaneous	7	inter-chrom	412	1,70
UD	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	252	< 1Mb	309	81,55
UD	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	49	>= 1Mb	309	15,86
UD	Body fat	Adipose - Visceral (Omentum)	Adipose_Visceral_Omentum	8	inter-chrom	309	2,59
UD	Endocrine system	Adrenal Gland	Adrenal_Gland	158	< 1Mb	203	77,83
UD	Endocrine system	Adrenal Gland	Adrenal_Gland	34	>= 1Mb	203	16,75
UD	Endocrine system	Adrenal Gland	Adrenal_Gland	11	inter-chrom	203	5,42
UD	Circulatory system	Artery - Aorta	Artery_Aorta	248	< 1Mb	314	78,98
UD	Circulatory system	Artery - Aorta	Artery_Aorta	53	>= 1Mb	314	16,88
UD	Circulatory system	Artery - Aorta	Artery_Aorta	13	inter-chrom	314	4,14
UD	Circulatory system	Artery - Coronary	Artery_Coronary	116	< 1Mb	152	76,32
UD	Circulatory system	Artery - Coronary	Artery_Coronary	27	>= 1Mb	152	17,76
UD	Circulatory system	Artery - Coronary	Artery_Coronary	9	inter-chrom	152	5,92
UD	Circulatory system	Artery - Tibial	Artery_Tibial	307	< 1Mb	377	81,43
UD	Circulatory system	Artery - Tibial	Artery_Tibial	63	>= 1Mb	377	16,71
UD	Circulatory system	Artery - Tibial	Artery_Tibial	7	inter-chrom	377	1,86
UD	Nervous System	Brain - Amygdala	Brain_Amygdala	79	< 1Mb	96	82,29
UD	Nervous System	Brain - Amygdala	Brain_Amygdala	11	>= 1Mb	96	11,46
UD	Nervous System	Brain - Amygdala	Brain_Amygdala	6	inter-chrom	96	6,25
UD	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	104	< 1Mb	118	88,14
UD	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	9	>= 1Mb	118	7,63
UD	Nervous System	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_BA24	5	inter-chrom	118	4,24
UD	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	130	< 1Mb	156	83,33
UD	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	17	>= 1Mb	156	10,90
UD	Nervous System	Brain - Caudate (basal ganglia)	Brain_Caudate_basal_ganglia	9	inter-chrom	156	5,77
UD	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	221	< 1Mb	288	76,74
UD	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	60	>= 1Mb	288	20,83
UD	Nervous System	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	7	inter-chrom	288	2,43
UD	Nervous System	Brain - Cerebellum	Brain_Cerebellum	314	< 1Mb	405	77,53
UD	Nervous System	Brain - Cerebellum	Brain_Cerebellum	78	>= 1Mb	405	19,26
UD	Nervous System	Brain - Cerebellum	Brain_Cerebellum	13	inter-chrom	405	3,21
UD	Nervous System	Brain - Cortex	Brain_Cortex	171	< 1Mb	218	78,44
UD	Nervous System	Brain - Cortex	Brain_Cortex	41	>= 1Mb	218	18,81
UD	Nervous System	Brain - Cortex	Brain_Cortex	6	inter-chrom	218	2,75
UD	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	109	< 1Mb	151	72,19
UD	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	33	>= 1Mb	151	21,85
UD	Nervous System	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_BA9	9	inter-chrom	151	5,96
UD	Nervous System	Brain - Hippocampus	Brain_Hippocampus	96	< 1Mb	114	84,21
UD	Nervous System	Brain - Hippocampus	Brain_Hippocampus	9	>= 1Mb	114	7,89
UD	Nervous System	Brain - Hippocampus	Brain_Hippocampus	9	inter-chrom	114	7,89
UD	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	84	< 1Mb	114	73,68
UD	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	22	>= 1Mb	114	19,30
UD	Nervous System	Brain - Hypothalamus	Brain_Hypothalamus	8	inter-chrom	114	7,02
UD	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	147	< 1Mb	183	80,33
UD	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	24	>= 1Mb	183	13,11
UD	Nervous System	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_basal_ganglia	12	inter-chrom	183	6,56
UD	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	113	< 1Mb	133	84,96
UD	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	7	>= 1Mb	133	5,26
UD	Nervous System	Brain - Putamen (basal ganglia)	Brain_Putamen_basal_ganglia	13	inter-chrom	133	9,77
UD	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	82	< 1Mb	110	74,55
UD	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	16	>= 1Mb	110	14,55
UD	Nervous System	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_cervical_c-1	12	inter-chrom	110	10,91
UD	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	35	< 1Mb	54	64,81
UD	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	11	>= 1Mb	54	20,37
UD	Nervous System	Brain - Substantia nigra	Brain_Substantia_nigra	8	inter-chrom	54	14,81
UD	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	228	< 1Mb	300	76,00
UD	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	51	>= 1Mb	300	17,00
UD	Exocrine system	Breast - Mammary Tissue	Breast_Mammary_Tissue	21	inter-chrom	300	7,00
UD	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	102	< 1Mb	128	79,69
UD	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	18	>= 1Mb	128	14,06
UD	Transformed cells	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes	8	inter-chrom	128	6,25
UD	Transformed cells	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts	284	< 1Mb	361	78,67
UD	Transformed cells	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts	65	>= 1Mb	361	18,01
UD	Transformed cells	Cells - Transformed fibroblasts	Cells_Transformed_fibroblasts	12	inter-chrom	361	3,32
UD	Digestive system	Colon - Sigmoid	Colon_Sigmoid	173	< 1Mb	208	83,17
UD	Digestive system	Colon - Sigmoid	Colon_Sigmoid	27	>= 1Mb	208	12,98
UD	Digestive system	Colon - Sigmoid	Colon_Sigmoid	8	inter-chrom	208	3,85
UD	Digestive system	Colon - Transverse	Colon_Transverse	189	< 1Mb	242	78,10
UD	Digestive system	Colon - Transverse	Colon_Transverse	45	>= 1Mb	242	18,60
UD	Digestive system	Colon - Transverse	Colon_Transverse	8	inter-chrom	242	3,31
UD	Digestive system	Esophagus - Gastroesophageal Junction	Esophagus_Gastroesophageal_Junction	201	< 1Mb	260	77,31
UD	Digestive system	Esophagus - Gastroesophageal Junction	Esophagus_Gastroesophageal_Junction	45	>= 1Mb	260	17,31
UD	Digestive system	Esophagus - Gastroesophageal Junction	Esophagus_Gastroesophageal_Junction	14	inter-chrom	260	5,38
UD	Digestive system	Esophagus - Mucosa	Esophagus_Mucosa	382	< 1Mb	455	83,96
UD	Digestive system	Esophagus - Mucosa	Esophagus_Mucosa	67	>= 1Mb	455	14,73
UD	Digestive system	Esophagus - Mucosa	Esophagus_Mucosa	6	inter-chrom	455	1,32
UD	Digestive system	Esophagus - Muscularis	Esophagus_Muscularis	300	< 1Mb	374	80,21
UD	Digestive system	Esophagus - Muscularis	Esophagus_Muscularis	67	>= 1Mb	374	17,91
UD	Digestive system	Esophagus - Muscularis	Esophagus_Muscularis	7	inter-chrom	374	1,87
UD	Circulatory system	Heart - Atrial Appendage	Heart_Atrial_Appendage	226	< 1Mb	276	81,88
UD	Circulatory system	Heart - Atrial Appendage	Heart_Atrial_Appendage	45	>= 1Mb	276	16,30
UD	Circulatory system	Heart - Atrial Appendage	Heart_Atrial_Appendage	5	inter-chrom	276	1,81
UD	Circulatory system	Heart - Left Ventricle	Heart_Left_Ventricle	193	< 1Mb	239	80,75
UD	Circulatory system	Heart - Left Ventricle	Heart_Left_Ventricle	42	>= 1Mb	239	17,57
UD	Circulatory system	Heart - Left Ventricle	Heart_Left_Ventricle	4	inter-chrom	239	1,67
UD	Digestive system	Liver	Liver	115	< 1Mb	159	72,33
UD	Digestive system	Liver	Liver	41	>= 1Mb	159	25,79
UD	Digestive system	Liver	Liver	3	inter-chrom	159	1,89
UD	Respiratory system	Lung	Lung	365	< 1Mb	461	79,18
UD	Respiratory system	Lung	Lung	86	>= 1Mb	461	18,66
UD	Respiratory system	Lung	Lung	10	inter-chrom	461	2,17
UD	Exocrine system	Minor Salivary Gland	Minor_Salivary_Gland	41	< 1Mb	60	68,33
UD	Exocrine system	Minor Salivary Gland	Minor_Salivary_Gland	13	>= 1Mb	60	21,67
UD	Exocrine system	Minor Salivary Gland	Minor_Salivary_Gland	6	inter-chrom	60	10,00
UD	Muscular system	Muscle - Skeletal	Muscle_Skeletal	334	< 1Mb	421	79,33
UD	Muscular system	Muscle - Skeletal	Muscle_Skeletal	81	>= 1Mb	421	19,24
UD	Muscular system	Muscle - Skeletal	Muscle_Skeletal	6	inter-chrom	421	1,43
UD	Nervous System	Nerve - Tibial	Nerve_Tibial	378	< 1Mb	464	81,47
UD	Nervous System	Nerve - Tibial	Nerve_Tibial	75	>= 1Mb	464	16,16
UD	Nervous System	Nerve - Tibial	Nerve_Tibial	11	inter-chrom	464	2,37
UD	Reproductive system	Ovary	Ovary	84	< 1Mb	115	73,04
UD	Reproductive system	Ovary	Ovary	22	>= 1Mb	115	19,13
UD	Reproductive system	Ovary	Ovary	9	inter-chrom	115	7,83
UD	Endocrine system	Pancreas	Pancreas	215	< 1Mb	260	82,69
UD	Endocrine system	Pancreas	Pancreas	35	>= 1Mb	260	13,46
UD	Endocrine system	Pancreas	Pancreas	10	inter-chrom	260	3,85
UD	Endocrine system	Pituitary	Pituitary	183	< 1Mb	223	82,06
UD	Endocrine system	Pituitary	Pituitary	29	>= 1Mb	223	13,00
UD	Endocrine system	Pituitary	Pituitary	11	inter-chrom	223	4,93
UD	Reproductive system	Prostate	Prostate	108	< 1Mb	137	78,83
UD	Reproductive system	Prostate	Prostate	24	>= 1Mb	137	17,52
UD	Reproductive system	Prostate	Prostate	5	inter-chrom	137	3,65
UD	Exocrine system	Skin - Not Sun Exposed (Suprapubic)	Skin_Not_Sun_Exposed_Suprapubic	341	< 1Mb	424	80,42
UD	Exocrine system	Skin - Not Sun Exposed (Suprapubic)	Skin_Not_Sun_Exposed_Suprapubic	72	>= 1Mb	424	16,98
UD	Exocrine system	Skin - Not Sun Exposed (Suprapubic)	Skin_Not_Sun_Exposed_Suprapubic	11	inter-chrom	424	2,59
UD	Exocrine system	Skin - Sun Exposed (Lower leg)	Skin_Sun_Exposed_Lower_leg	410	< 1Mb	500	82,00
UD	Exocrine system	Skin - Sun Exposed (Lower leg)	Skin_Sun_Exposed_Lower_leg	77	>= 1Mb	500	15,40
UD	Exocrine system	Skin - Sun Exposed (Lower leg)	Skin_Sun_Exposed_Lower_leg	13	inter-chrom	500	2,60
UD	Digestive system	Small Intestine - Terminal Ileum	Small_Intestine_Terminal_Ileum	122	< 1Mb	166	73,49
