Gene_Name	Drug_Name	Interaction_Type	Source	Gene_Categories
NSF	1-Ethyl-Pyrrolidine-2,5-Dione		DrugBank	
CRHR1	SAUVAGINE	agonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	UROCORTIN 1	agonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	UROCORTIN 1	agonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	UROCORTIN 2	agonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	ANTALARMIN	antagonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	DMP696	antagonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	SSR125543A	antagonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	SSR125543	antagonist	TTD	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	SSR125543	antagonist	ChemblInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	FLUOXETINE		PharmGKB	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	CRF-1 ANTAGONIST	antagonist	TTD	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	PEXACERFONT	antagonist	TTD	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	PEXACERFONT	antagonist	ChemblInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	GW876008	antagonist	TTD	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	EMICERFONT	antagonist	ChemblInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	VERUCERFONT	antagonist	ChemblInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	GSK561679	antagonist	TTD	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	CP-316,311	antagonist	TTD	Druggable genome,g protein coupled receptor,ion channel,transporter
CRHR1	ONO-2333Ms	antagonist	ChemblInteractions	Druggable genome,g protein coupled receptor,ion channel,transporter
MAPT	Paclitaxel		DrugBank	Druggable genome,kinase,protease
MAPT	Docetaxel		DrugBank	Druggable genome,kinase,protease
SNCA	BIIB054	inhibitor	ChemblInteractions	Drug resistance,druggable genome,histone modification,kinase,phospholipase,protease,protease inhibitor,serine threonine kinase,transporter
GRID2	L-Glutamic Acid		DrugBank	Druggable genome,ion channel,transporter
RICTOR	AZD8055	inhibitor	MyCancerGenome	Clinically actionable
RICTOR	OSI-027	inhibitor	MyCancerGenome	Clinically actionable
RICTOR	MLN0128	inhibitor	MyCancerGenome	Clinically actionable
RICTOR	AZD2014		CIViC	Clinically actionable
PTCH1	RETINOIC ACID		NCI	Clinically actionable,drug resistance,tumor suppressor
PTCH1	Sonidegib		OncoKB	Clinically actionable,drug resistance,tumor suppressor
PTCH1	SONIDEGIB		CIViC	Clinically actionable,drug resistance,tumor suppressor
PTCH1	Vismodegib		OncoKB	Clinically actionable,drug resistance,tumor suppressor
PTCH1	VISMODEGIB	inhibitor	MyCancerGenome	Clinically actionable,drug resistance,tumor suppressor
PTCH1	Vismodegib		CGI	Clinically actionable,drug resistance,tumor suppressor
PTCH1	VISMODEGIB		CIViC	Clinically actionable,drug resistance,tumor suppressor
PTCH1	Foretinib		CGI	Clinically actionable,drug resistance,tumor suppressor
NMT1	(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone		DrugBank	Druggable genome
PBRM1	Everolimus		CGI	Clinically actionable
KCNH3	NERISPIRDINE	blocker	ChemblInteractions	Druggable genome,ion channel,kinase,transporter
KCNH3	TEDISAMIL	blocker	ChemblInteractions	Druggable genome,ion channel,kinase,transporter
KCNH3	DALFAMPRIDINE	blocker	ChemblInteractions	Druggable genome,ion channel,kinase,transporter
KCNH3	GUANIDINE HYDROCHLORIDE	blocker	ChemblInteractions	Druggable genome,ion channel,kinase,transporter
MMAB	Hydroxocobalamin	other	DrugBank	
UNG	4-[(1E,7E)-8-(2,6-DIOXO-1,2,3,6-TETRAHYDROPYRIMIDIN-4-YL)-3,6-DIOXA-2,7-DIAZAOCTA-1,7-DIEN-1-YL]BENZOIC ACID		DrugBank	Dna repair
UNG	3-[(1E,7E)-8-(2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl)-3,6-dioxa-2,7-diazaocta-1,7-dien-1-yl]benzoic acid		DrugBank	Dna repair
NT5C2	Adenosine triphosphate		DrugBank	Drug metabolism,kinase
NT5C2	Ribavirin	inducer	DrugBank	Drug metabolism,kinase
NT5C2	6-THIOGUANINE		CIViC	Drug metabolism,kinase
NT5C2	6-MERCAPTOPURINE		CIViC	Drug metabolism,kinase
AS3MT	ARSENITE		PharmGKB	
ARL3	Guanosine-5'-Diphosphate		DrugBank	
SIK3	HMG COA REDUCTASE INHIBITORS		PharmGKB	Druggable genome,kinase,serine threonine kinase
SIK3	HMG COA REDUCTASE INHIBITORS		PharmGKB	Druggable genome,kinase,serine threonine kinase
SIK3	ARN-3236	inhibitor	GuideToPharmacologyInteractions	Druggable genome,kinase,serine threonine kinase
SIK3	BOSUTINIB	inhibitor	GuideToPharmacologyInteractions	Druggable genome,kinase,serine threonine kinase
SIK3	DASATINIB	inhibitor	GuideToPharmacologyInteractions	Druggable genome,kinase,serine threonine kinase
ACP2	ATENOLOL		PharmGKB	Druggable genome
ACP2	VERAPAMIL		PharmGKB	Druggable genome
NR1H3	T0901317	agonist	GuideToPharmacologyInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	N-(2,2,2-TRIFLUOROETHYL)-N-{4-[2,2,2-TRIFLUORO-1-HYDROXY-1-(TRIFLUOROMETHYL)ETHYL]PHENYL}BENZENESULFONAMIDE		DrugBank	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	N-(TERT-BUTYL)-3,5-DIMETHYL-N'-[(5-METHYL-2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)CARBONYL]BENZOHYDRAZIDE		DrugBank	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	1-BENZYL-3-(4-METHOXYPHENYLAMINO)-4-PHENYLPYRROLE-2,5-DIONE		DrugBank	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID		DrugBank	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	22R-HYDROXYCHOLESTEROL	agonist	GuideToPharmacologyInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	24(S), 25-EPOXYCHOLESTEROL	agonist	GuideToPharmacologyInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	24(S)-HYDROXYCHOLESTEROL	agonist	GuideToPharmacologyInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	DESMOSTEROL	agonist	GuideToPharmacologyInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	GW3965	agonist	GuideToPharmacologyInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	L-783483	agonist	GuideToPharmacologyInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	PAXILLINE	agonist	GuideToPharmacologyInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	GSK2033	antagonist	GuideToPharmacologyInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	CS-8080	agonist	ChemblInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	VERAPAMIL		PharmGKB	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	ATENOLOL		PharmGKB	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	LXR-623	agonist	ChemblInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	HYODEOXYCHOLIC_ACID	agonist	ChemblInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
NR1H3	BMS-852927	modulator	ChemblInteractions	Druggable genome,nuclear hormone receptor,transcription factor complex
MADD	VERAPAMIL		PharmGKB	Kinase,serine threonine kinase,tumor suppressor
CYP17A1	NADH		DrugBank	Cytochrome p450,druggable genome
CYP17A1	Progesterone	inhibitor	DrugBank	Cytochrome p450,druggable genome
CYP17A1	PROGESTERONE	inhibitor	TTD	Cytochrome p450,druggable genome
CYP17A1	Abiraterone	inhibitor	DrugBank	Cytochrome p450,druggable genome
CYP17A1	ABIRATERONE	inhibitor	GuideToPharmacologyInteractions	Cytochrome p450,druggable genome
CYP17A1	ABIRATERONE		TdgClinicalTrial	Cytochrome p450,druggable genome
CYP17A1	Abiraterone		CGI	Cytochrome p450,druggable genome
CYP17A1	GALETERONE	inhibitor	GuideToPharmacologyInteractions	Cytochrome p450,druggable genome
CYP17A1	GALETERONE		TdgClinicalTrial	Cytochrome p450,druggable genome
CYP17A1	GALETERONE	inhibitor	ChemblInteractions	Cytochrome p450,druggable genome
CYP17A1	ABIRATERONE ACETATE	inhibitor	CancerCommons	Cytochrome p450,druggable genome
CYP17A1	ABIRATERONE ACETATE	inhibitor	ChemblInteractions	Cytochrome p450,druggable genome
CYP17A1	ORTERONEL		TdgClinicalTrial	Cytochrome p450,druggable genome
CYP17A1	ORTERONEL	inhibitor	ChemblInteractions	Cytochrome p450,druggable genome
CYP17A1	ORTERONEL	inhibitor	CancerCommons	Cytochrome p450,druggable genome
CYP17A1	Enzalutamide		CGI	Cytochrome p450,druggable genome
SUFU	SONIDEGIB		CIViC	Clinically actionable,transcription factor binding
HFE	EPOETIN ALFA		PharmGKB	Cell surface,druggable genome,external side of plasma membrane
ACO2	Isocitric Acid		DrugBank	
ACO2	Tricarballylic Acid		DrugBank	
ALK	Ceritinib		CGI	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	Ceritinib		FDA	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	Ceritinib	antagonist	DrugBank	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	Ceritinib		OncoKB	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	LDK378	inhibitor	TALC	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	LDK378	inhibitor	CancerCommons	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	CERITINIB	inhibitor	ChemblInteractions	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	CERITINIB	inhibitor	MyCancerGenome	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	LDK378	inhibitor	MyCancerGenome	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	1032900-25-6	inhibitor	MyCancerGenomeClinicalTrial	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	CERITINIB		CIViC	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	Ceritinib		CKB	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	CERITINIB		DoCM	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	CERITINIB	inhibitor	GuideToPharmacologyInteractions	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
ALK	CH5424802	inhibitor	MyCancerGenome	Clinically actionable,druggable genome,kinase,serine threonine kinase,tyrosine kinase
