Gene_Name	Drug_Name	Interaction_Type	Source	Gene_Categories
EARS2	L-Glutamic Acid		DrugBank	Druggable genome
HLA-A	CARBAMAZEPINE		PharmGKB	Cell surface,druggable genome
HLA-A	Carbamazepine		FDA	Cell surface,druggable genome
HLA-A	3-Indolebutyric Acid		DrugBank	Cell surface,druggable genome
CYP21A2	Ketoconazole		DrugBank	Cytochrome p450,druggable genome
C4A	Immune Globulin Human	binder	DrugBank	Druggable genome,protease,protease inhibitor
CCHCR1	NEVIRAPINE		PharmGKB	
LPAR2	2-OLEOYL-LPA	agonist	GuideToPharmacologyInteractions	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	FARNESYL DIPHOSPHATE	agonist	GuideToPharmacologyInteractions	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	AM966	antagonist	GuideToPharmacologyInteractions	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	KI16425	antagonist	GuideToPharmacologyInteractions	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	CAFFEINE		NCI	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	MORPHINE		NCI	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	OCTREOTIDE		NCI	Cell surface,druggable genome,g protein coupled receptor,phospholipase
HAPLN4	Hyaluronic acid	binder	DrugBank	Druggable genome
CACNA1C	Isradipine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	ISRADIPINE		TEND	Druggable genome,ion channel,transporter
CACNA1C	ISRADIPINE		TdgClinicalTrial	Druggable genome,ion channel,transporter
CACNA1C	ISRADIPINE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	Nimodipine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	NIMODIPINE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	Nisoldipine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	NISOLDIPINE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	NISOLDIPINE	gating inhibitor	GuideToPharmacologyInteractions	Druggable genome,ion channel,transporter
CACNA1C	Cinnarizine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	Magnesium Sulfate		DrugBank	Druggable genome,ion channel,transporter
CACNA1C	VERAPAMIL		TEND	Druggable genome,ion channel,transporter
CACNA1C	Verapamil	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	VERAPAMIL	channel blocker	GuideToPharmacologyInteractions	Druggable genome,ion channel,transporter
CACNA1C	VERAPAMIL		TdgClinicalTrial	Druggable genome,ion channel,transporter
CACNA1C	Felodipine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	FELODIPINE		TdgClinicalTrial	Druggable genome,ion channel,transporter
CACNA1C	FELODIPINE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	Nitrendipine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	Nifedipine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	NIFEDIPINE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	DILTIAZEM	channel blocker	GuideToPharmacologyInteractions	Druggable genome,ion channel,transporter
CACNA1C	MIBEFRADIL	channel blocker	GuideToPharmacologyInteractions	Druggable genome,ion channel,transporter
CACNA1C	Mibefradil	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	PB2+	channel blocker	GuideToPharmacologyInteractions	Druggable genome,ion channel,transporter
CACNA1C	Dronedarone		DrugBank	Druggable genome,ion channel,transporter
CACNA1C	Clevidipine		DrugBank	Druggable genome,ion channel,transporter
CACNA1C	CLEVIDIPINE		TdgClinicalTrial	Druggable genome,ion channel,transporter
CACNA1C	CLEVIDIPINE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	Nilvadipine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	Drotaverine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	CELECOXIB		PharmGKB	Druggable genome,ion channel,transporter
CACNA1C	IBUTILIDE		TEND	Druggable genome,ion channel,transporter
CACNA1C	IBUTILIDE		TdgClinicalTrial	Druggable genome,ion channel,transporter
CACNA1C	NICARDIPINE		TEND	Druggable genome,ion channel,transporter
CACNA1C	NICARDIPINE		TdgClinicalTrial	Druggable genome,ion channel,transporter
CACNA1C	AMLODIPINE		TdgClinicalTrial	Druggable genome,ion channel,transporter
CACNA1C	BEPRIDIL HYDROCHLORIDE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	GABAPENTIN	modulator	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	GABAPENTIN ENACARBIL	modulator	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	AZD1305	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	IMAGABALIN	modulator	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	DRONEDARONE HYDROCHLORIDE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	AMLODIPINE MALEATE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	PREGABALIN	modulator	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	ATAGABALIN	modulator	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	ELPETRIGINE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	VERAPAMIL HYDROCHLORIDE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	DILTIAZEM MALATE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	AMLODIPINE BESYLATE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
