Gene_Name	Drug_Name	Interaction_Type	Source	Gene_Categories
RBL2	RAPAMYCIN		NCI	Kinase,lipid kinase,transcription factor complex,tumor suppressor
GATB	L-Glutamic Acid		DrugBank	
CYP2D6	GLUTETHIMIDE	inducer	TTD	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Codeine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	CODEINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	FLUPENTHIXOL		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	SPARTEINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Fluvoxamine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	ALBUMIN		NCI	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	HYDROXYCHLOROQUINE		NCI	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	PROPRANOLOL		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Propranolol		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	CLOZAPINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Clozapine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Paroxetine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	PAROXETINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	ACETAMINOPHEN		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Arformoterol		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	ATOMOXETINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Atomoxetine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	GINKGO BILOBA		NCI	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	HYPERICIN		NCI	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	CHLORPROMAZINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	DOXEPIN		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Doxepin		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Valbenazine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Palonosetron		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	RISPERIDONE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Risperidone		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	MIANSERIN		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Fesoterodine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Nefazodone		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Darifenacin		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	GALANTAMINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Galantamine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	PERPHENAZINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Perphenazine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	DESIPRAMINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Desipramine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Iloperidone		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	ILOPERIDONE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	VENLAFAXINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Venlafaxine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	ERLOTINIB		NCI	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Metoprolol		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Nebivolol		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	GEFITINIB		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Thioridazine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	DEBRISOQUINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Duloxetine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	YOHIMBINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	CELECOXIB		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	CARVEDILOL		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Carvedilol		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Tramadol		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Dextromethorphan		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	DEXTROMETHORPHAN		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	FLUOXETINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Fluoxetine		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	MIRTAZAPINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Escitalopram		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	OLANZAPINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	PIMOZIDE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Pimozide		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	TACROLIMUS		NCI	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	Flibanserin		FDA	Cytochrome p450,drug metabolism,druggable genome
CYP2D6	TOLTERODINE		PharmGKB	Cytochrome p450,drug metabolism,druggable genome
