Gene_Name	Drug_Name	Interaction_Type	Source	Gene_Categories
BAG6	CARBAMAZEPINE		PharmGKB	
TARS2	L-Threonine		DrugBank	
CTSS	COMPOUND (R)-26 [PMID: 22686657]	inhibitor	GuideToPharmacologyInteractions	Druggable genome,ion channel,protease,transporter
CTSS	LHVS	inhibitor	GuideToPharmacologyInteractions	Druggable genome,ion channel,protease,transporter
CTSS	ODANACATIB	inhibitor	GuideToPharmacologyInteractions	Druggable genome,ion channel,protease,transporter
CTSS	Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide		DrugBank	Druggable genome,ion channel,protease,transporter
CTSS	N-[(1S)-2-[(4-cyano-1-methylpiperidin-4-yl)amino]-1-(cyclohexylmethyl)-2-oxoethyl]morpholine-4-carboxamide		DrugBank	Druggable genome,ion channel,protease,transporter
CTSS	N~2~-1,3-BENZOXAZOL-2-YL-3-CYCLOHEXYL-N-{2-[(4-METHOXYPHENYL)AMINO]ETHYL}-L-ALANINAMIDE		DrugBank	Druggable genome,ion channel,protease,transporter
CYP21A2	Ketoconazole		DrugBank	Cytochrome p450,druggable genome
NOTCH4	PF-03084014	inhibitor	MyCancerGenome	Cell surface,clinically actionable,druggable genome
NOTCH4	REGN421	antibody	MyCancerGenome	Cell surface,clinically actionable,druggable genome
C4A	Immune Globulin Human	binder	DrugBank	Druggable genome,protease,protease inhibitor
FES	LORLANTINIB	inhibitor	GuideToPharmacologyInteractions	Druggable genome,kinase,tyrosine kinase
MMP16	Marimastat	inhibitor	DrugBank	Cell surface,druggable genome,neutral zinc metallopeptidase,protease
MMP16	ILOMASTAT	inhibitor	GuideToPharmacologyInteractions	Cell surface,druggable genome,neutral zinc metallopeptidase,protease
MMP16	SL422	inhibitor	GuideToPharmacologyInteractions	Cell surface,druggable genome,neutral zinc metallopeptidase,protease
MMP16	Batimastat		DrugBank	Cell surface,druggable genome,neutral zinc metallopeptidase,protease
XPNPEP3	TOSEDOSTAT	inhibitor	ChemblInteractions	Druggable genome,neutral zinc metallopeptidase,protease
AS3MT	ARSENITE		PharmGKB	
CCHCR1	NEVIRAPINE		PharmGKB	
HLA-DRB5	1D09C3		TdgClinicalTrial	Druggable genome
HLA-DQB1	CLAVULANATE		PharmGKB	
HLA-DQB1	AMOXICILLIN		PharmGKB	
C4B	Immune Globulin Human	binder	DrugBank	Druggable genome,protease,protease inhibitor
PCCB	Biotin		DrugBank	Druggable genome
PCCB	L-Valine		DrugBank	Druggable genome
FLOT1	CARBAMAZEPINE		PharmGKB	
PSORS1C2	NEVIRAPINE		PharmGKB	
LPAR2	2-OLEOYL-LPA	agonist	GuideToPharmacologyInteractions	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	FARNESYL DIPHOSPHATE	agonist	GuideToPharmacologyInteractions	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	AM966	antagonist	GuideToPharmacologyInteractions	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	KI16425	antagonist	GuideToPharmacologyInteractions	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	OCTREOTIDE		NCI	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	CAFFEINE		NCI	Cell surface,druggable genome,g protein coupled receptor,phospholipase
LPAR2	MORPHINE		NCI	Cell surface,druggable genome,g protein coupled receptor,phospholipase
HAPLN4	Hyaluronic acid	binder	DrugBank	Druggable genome
NT5C2	Ribavirin	inducer	DrugBank	Drug metabolism,kinase
NT5C2	6-THIOGUANINE		CIViC	Drug metabolism,kinase
NT5C2	6-MERCAPTOPURINE		CIViC	Drug metabolism,kinase
NT5C2	Adenosine triphosphate		DrugBank	Drug metabolism,kinase
POU5F1	ETHANOL		NCI	
CLCN6	NITROUS OXIDE		PharmGKB	Druggable genome,ion channel,transporter
CLCN6	CYCLOPHOSPHAMIDE		PharmGKB	Druggable genome,ion channel,transporter
CLCN6	VINCRISTINE		PharmGKB	Druggable genome,ion channel,transporter
CLCN6	CARBOPLATIN		PharmGKB	Druggable genome,ion channel,transporter
CLCN6	CHLORTHALIDONE		PharmGKB	Druggable genome,ion channel,transporter
CLCN6	BUSULFAN		PharmGKB	Druggable genome,ion channel,transporter
CLCN6	CISPLATIN		PharmGKB	Druggable genome,ion channel,transporter
CLCN6	PEMETREXED		PharmGKB	Druggable genome,ion channel,transporter
CLCN6	DACTINOMYCIN		PharmGKB	Druggable genome,ion channel,transporter
MTHFR	Cyanocobalamin	cofactor	DrugBank	Drug resistance,histone modification
MTHFR	CYANOCOBALAMIN		PharmGKB	Drug resistance,histone modification
MTHFR	Tetrahydrofolic acid	cofactor	DrugBank	Drug resistance,histone modification
MTHFR	CYCLOPHOSPHAMIDE		PharmGKB	Drug resistance,histone modification
MTHFR	OXALIPLATIN		NCI	Drug resistance,histone modification
MTHFR	BEVACIZUMAB		PharmGKB	Drug resistance,histone modification
MTHFR	PACLITAXEL		PharmGKB	Drug resistance,histone modification
MTHFR	IRINOTECAN		NCI	Drug resistance,histone modification
MTHFR	CARBOPLATIN		PharmGKB	Drug resistance,histone modification
MTHFR	CISPLATIN		PharmGKB	Drug resistance,histone modification
MTHFR	BUSULFAN		PharmGKB	Drug resistance,histone modification
MTHFR	VINORELBINE		PharmGKB	Drug resistance,histone modification
MTHFR	ALBUMIN		NCI	Drug resistance,histone modification
MTHFR	DACTINOMYCIN		PharmGKB	Drug resistance,histone modification
MTHFR	DOCETAXEL		PharmGKB	Drug resistance,histone modification
MTHFR	PHENYTOIN		NCI	Drug resistance,histone modification
MTHFR	6-MERCAPTOPURINE		NCI	Drug resistance,histone modification
MTHFR	VINCRISTINE		PharmGKB	Drug resistance,histone modification
MTHFR	ETHANOL		NCI	Drug resistance,histone modification
MTHFR	GEMCITABINE		PharmGKB	Drug resistance,histone modification
MTHFR	PEMETREXED		PharmGKB	Drug resistance,histone modification
MTHFR	5-FLUOROURACIL		CIViC	Drug resistance,histone modification
