Gene_Name	Drug_Name	Interaction_Type	Source	Gene_Categories
CD40	DACETUZUMAB	inhibitor	ChemblInteractions	Cell surface,druggable genome,external side of plasma membrane,kinase,serine threonine kinase
CD40	DACETUZUMAB	antibody	TTD	Cell surface,druggable genome,external side of plasma membrane,kinase,serine threonine kinase
CD40	DACETUZUMAB		TdgClinicalTrial	Cell surface,druggable genome,external side of plasma membrane,kinase,serine threonine kinase
CD40	PG-102	inhibitor	ChemblInteractions	Cell surface,druggable genome,external side of plasma membrane,kinase,serine threonine kinase
CD40	PG102		TdgClinicalTrial	Cell surface,druggable genome,external side of plasma membrane,kinase,serine threonine kinase
CD40	TENELIXIMAB	partial agonist	ChemblInteractions	Cell surface,druggable genome,external side of plasma membrane,kinase,serine threonine kinase
CD40	TETANUS TOXOID		NCI	Cell surface,druggable genome,external side of plasma membrane,kinase,serine threonine kinase
CD40	STREPTOZOTOCIN		NCI	Cell surface,druggable genome,external side of plasma membrane,kinase,serine threonine kinase
CD40	LUCATUMUMAB		TdgClinicalTrial	Cell surface,druggable genome,external side of plasma membrane,kinase,serine threonine kinase
CD40	HYDROQUINONE		NCI	Cell surface,druggable genome,external side of plasma membrane,kinase,serine threonine kinase
CD40	FLUDARABINE		NCI	Cell surface,druggable genome,external side of plasma membrane,kinase,serine threonine kinase
HLA-DRB1	Glatiramer Acetate	binder	DrugBank	Cell surface,druggable genome
HLA-DRB1	Lapatinib		FDA	Cell surface,druggable genome
HLA-DRB1	LYM-1		ChemblInteractions	Cell surface,druggable genome
PSORS1C2	NEVIRAPINE		PharmGKB	
C4B	Immune Globulin Human	binder	DrugBank	Druggable genome,protease,protease inhibitor
ANKK1	OLANZAPINE		PharmGKB	Druggable genome,kinase,serine threonine kinase
ANKK1	RISPERIDONE		PharmGKB	Druggable genome,kinase,serine threonine kinase
ANKK1	ARIPIPRAZOLE		PharmGKB	Druggable genome,kinase,serine threonine kinase
ANKK1	NEMONAPRIDE		PharmGKB	Druggable genome,kinase,serine threonine kinase
ANKK1	CLOZAPINE		PharmGKB	Druggable genome,kinase,serine threonine kinase
ANKK1	ETHANOL		PharmGKB	Druggable genome,kinase,serine threonine kinase
ANKK1	BUPROPION		PharmGKB	Druggable genome,kinase,serine threonine kinase
CACNA1C	Isradipine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	ISRADIPINE		TEND	Druggable genome,ion channel,transporter
CACNA1C	ISRADIPINE		TdgClinicalTrial	Druggable genome,ion channel,transporter
CACNA1C	ISRADIPINE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	Nimodipine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	NIMODIPINE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	Nisoldipine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	NISOLDIPINE	blocker	ChemblInteractions	Druggable genome,ion channel,transporter
CACNA1C	NISOLDIPINE	gating inhibitor	GuideToPharmacologyInteractions	Druggable genome,ion channel,transporter
CACNA1C	Cinnarizine	inhibitor	DrugBank	Druggable genome,ion channel,transporter
CACNA1C	VERAPAMIL		TEND	Druggable genome,ion channel,transporter
CACNA1C	Verapamil	inhibitor	DrugBank	Druggable genome,ion channel,transporter
