DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2012-01-19	22205951	Kerner B	2011-12-21	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22205951	Genome-wide association study in bipolar patients stratified by co-morbidity.	Bipolar disorder	1,000 European ancestry cases, 1,034 European ancestry controls	NA	6q27	6	165741969	RP11-252P19.1	PDE10A			10846			rs1039002-?	rs1039002	0	1039002	intron_variant	0	NR	2E-8	7.698970004336019	(Latent Class 1)			Affymetrix [728331]	N	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST001359	Genome-wide genotyping array
2012-01-19	22205951	Kerner B	2011-12-21	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22205951	Genome-wide association study in bipolar patients stratified by co-morbidity.	Bipolar disorder	1,000 European ancestry cases, 1,034 European ancestry controls	NA	1q41	1	220484892	MARK1	LOC105372929			105372929			rs12563333-?	rs12563333	0	12563333	intergenic_variant	0	NR	6E-8	7.221848749616356	(Latent Class 1)			Affymetrix [728331]	N	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST001359	Genome-wide genotyping array
2012-01-19	22205951	Kerner B	2011-12-21	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22205951	Genome-wide association study in bipolar patients stratified by co-morbidity.	Bipolar disorder	1,000 European ancestry cases, 1,034 European ancestry controls	NA	3p26.3	3	1856289	intergenic	RPL23AP39 - RPL21P17	100271461	727810		125815	49359	rs2727943-?	rs2727943	0	2727943	intergenic_variant	1	NR	3E-8	7.522878745280337	(Latent Class 2)			Affymetrix [728331]	N	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST001359	Genome-wide genotyping array
2012-01-24	21254220	Jiang Y	2011-02-01	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/21254220	Propensity score-based nonparametric test revealing genetic variants underlying bipolar disorder.	Bipolar disorder	1,868 European ancestry cases, 2,938 European ancestry controls	NA	6p21.33	6	31359924	NR	HLA-B - DHFRP2	3106	729816		2679	3543	rs9378249-?	rs9378249	0	9378249	intergenic_variant	1	NR	1E-8	8.0	(addtive)			Affymetrix [NR]	N	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST000961	Genome-wide genotyping array
2012-01-24	21254220	Jiang Y	2011-02-01	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/21254220	Propensity score-based nonparametric test revealing genetic variants underlying bipolar disorder.	Bipolar disorder	1,868 European ancestry cases, 2,938 European ancestry controls	NA	17q22	17	57788926	NR	LOC105371839			105371839			rs12938916-?	rs12938916	0	12938916	intron_variant	0	NR	5E-7	6.301029995663981	(dominant)			Affymetrix [NR]	N	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST000961	Genome-wide genotyping array
2012-01-24	21254220	Jiang Y	2011-02-01	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/21254220	Propensity score-based nonparametric test revealing genetic variants underlying bipolar disorder.	Bipolar disorder	1,868 European ancestry cases, 2,938 European ancestry controls	NA	16p12.2	16	23622705	NR	PALB2			79728			rs420259-?	rs420259	0	420259	intron_variant	0	NR	9E-9	8.045757490560675	(recessive)			Affymetrix [NR]	N	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST000961	Genome-wide genotyping array
2012-01-24	21254220	Jiang Y	2011-02-01	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/21254220	Propensity score-based nonparametric test revealing genetic variants underlying bipolar disorder.	Bipolar disorder	1,868 European ancestry cases, 2,938 European ancestry controls	NA	20p13	20	3795528	NR	CDC25B			994			rs3761218-?	rs3761218	0	3761218	intron_variant	0	NR	1E-6	6.0	(dominant)			Affymetrix [NR]	N	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST000961	Genome-wide genotyping array
2012-01-24	21254220	Jiang Y	2011-02-01	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/21254220	Propensity score-based nonparametric test revealing genetic variants underlying bipolar disorder.	Bipolar disorder	1,868 European ancestry cases, 2,938 European ancestry controls	NA	1p32.1	1	60593587	NR	LOC105378763			105378763			rs2989476-?	rs2989476	0	2989476	intron_variant	0	NR	2E-6	5.698970004336019	(dominant)			Affymetrix [NR]	N	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST000961	Genome-wide genotyping array
2012-01-24	21254220	Jiang Y	2011-02-01	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/21254220	Propensity score-based nonparametric test revealing genetic variants underlying bipolar disorder.	Bipolar disorder	1,868 European ancestry cases, 2,938 European ancestry controls	NA	2p25.1	2	11897366	NR	LOC105373430 - LOC100506457	105373430	100506457		31089	109750	rs4027132-?	rs4027132	0	4027132	intron_variant	1	NR	3E-6	5.522878745280337	(recessive)			Affymetrix [NR]	N	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST000961	Genome-wide genotyping array
2012-01-24	21254220	Jiang Y	2011-02-01	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/21254220	Propensity score-based nonparametric test revealing genetic variants underlying bipolar disorder.	Bipolar disorder	1,868 European ancestry cases, 2,938 European ancestry controls	NA	2q12.1	2	104366809	NR	LOC105373523 - LOC100287010	105373523	100287010		208474	12041	rs7570682-?	rs7570682	0	7570682	intergenic_variant	1	NR	3E-6	5.522878745280337	(addtive)			Affymetrix [NR]	N	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST000961	Genome-wide genotyping array
