DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2008-11-12	18821564	Mick E	2008-09-26	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/18821564	Genome-wide association study of response to methylphenidate in 187 children with attention-deficit/hyperactivity disorder.	Attention deficit hyperactivity disorder	105 European ancestry cases, 34 Hispanic cases, 26 African American cases, 22 cases	NA	22q13.31	22	47888765	intergenic	LOC284930 - LOC107985536	284930	107985536		33165	210037	rs9627183-C	rs9627183	0	9627183	intergenic_variant	1	0.03	3E-6	5.522878745280337				Affymetrix [319722]	N	attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	GCST000235	Genome-wide genotyping array
2008-11-12	18821564	Mick E	2008-09-26	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/18821564	Genome-wide association study of response to methylphenidate in 187 children with attention-deficit/hyperactivity disorder.	Attention deficit hyperactivity disorder	105 European ancestry cases, 34 Hispanic cases, 26 African American cases, 22 cases	NA	5p15.31	5	6834054	intergenic	LOC105374641 - LOC105374642	105374641	105374642		931	12667	rs11134178-T	rs11134178	0	11134178	intergenic_variant	1	0.05	3E-6	5.522878745280337				Affymetrix [319722]	N	attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	GCST000235	Genome-wide genotyping array
2013-09-27	23527680	Ebejer JL	2013-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23527680	Genome-wide association study of inattention and hyperactivity-impulsivity measured as quantitative traits.	Attention deficit hyperactivity disorder (combined symptoms)	1,851 individuals	155 individuals	20q13.13	20	48460486	NR	LOC105372644 - LOC105372645	105372644	105372645		49770	10834	rs910191-A	rs910191	0	910191	intergenic_variant	1		2E-6	5.698970004336019				Illumina [2373249] (imputed)	N	attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	GCST001931	Genome-wide genotyping array
2013-09-27	23527680	Ebejer JL	2013-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23527680	Genome-wide association study of inattention and hyperactivity-impulsivity measured as quantitative traits.	Attention deficit hyperactivity disorder (combined symptoms)	1,851 individuals	155 individuals	2q33.3	2	205198574	NR	PARD3B			117583			rs11681930-A	rs11681930	0	11681930	intron_variant	0		5E-6	5.301029995663981				Illumina [2373249] (imputed)	N	attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	GCST001931	Genome-wide genotyping array
2013-09-27	23527680	Ebejer JL	2013-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23527680	Genome-wide association study of inattention and hyperactivity-impulsivity measured as quantitative traits.	Attention deficit hyperactivity disorder (combined symptoms)	1,851 individuals	155 individuals	7q36.2	7	153838604	NR	DPP6			1804			rs2110267-C	rs2110267	0	2110267	intergenic_variant	0		6E-6	5.221848749616356				Illumina [2373249] (imputed)	N	attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	GCST001931	Genome-wide genotyping array
2013-09-27	23527680	Ebejer JL	2013-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23527680	Genome-wide association study of inattention and hyperactivity-impulsivity measured as quantitative traits.	Attention deficit hyperactivity disorder (combined symptoms)	1,851 individuals	155 individuals	8q21.11	8	72158500	NR	TRPA1 - LOC105375896	8989	105375896		63615	35085	rs11994034-T	rs11994034	0	11994034	intergenic_variant	1		7E-6	5.154901959985743				Illumina [2373249] (imputed)	N	attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	GCST001931	Genome-wide genotyping array
2013-09-27	23527680	Ebejer JL	2013-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23527680	Genome-wide association study of inattention and hyperactivity-impulsivity measured as quantitative traits.	Attention deficit hyperactivity disorder (combined symptoms)	1,851 individuals	155 individuals	6q27	6	168089888	NR	FRMD1			79981			rs9364220-A	rs9364220	0	9364220	intron_variant	0		7E-6	5.154901959985743				Illumina [2373249] (imputed)	N	attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	GCST001931	Genome-wide genotyping array
2013-09-27	23527680	Ebejer JL	2013-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23527680	Genome-wide association study of inattention and hyperactivity-impulsivity measured as quantitative traits.	Attention deficit hyperactivity disorder (combined symptoms)	1,851 individuals	155 individuals	20q13.13	20	48461291	NR	LOC105372644 - LOC105372645	105372644	105372645		50575	10029	rs4458264-T	rs4458264	0	4458264	intergenic_variant	1		3E-6	5.522878745280337				Illumina [2373249] (imputed)	N	attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	GCST001931	Genome-wide genotyping array
2013-09-27	23527680	Ebejer JL	2013-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23527680	Genome-wide association study of inattention and hyperactivity-impulsivity measured as quantitative traits.	Attention deficit hyperactivity disorder (combined symptoms)	1,851 individuals	155 individuals	20q13.13	20	48461279	NR	LOC105372644 - LOC105372645	105372644	105372645		50563	10041	rs4402823-T	rs4402823	0	4402823	intergenic_variant	1		3E-6	5.522878745280337				Illumina [2373249] (imputed)	N	attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	GCST001931	Genome-wide genotyping array
2013-09-27	23527680	Ebejer JL	2013-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23527680	Genome-wide association study of inattention and hyperactivity-impulsivity measured as quantitative traits.	Attention deficit hyperactivity disorder (combined symptoms)	1,851 individuals	155 individuals	20q13.13	20	48459954	NR	LOC105372644 - LOC105372645	105372644	105372645		49238	11366	rs4810796-A	rs4810796	0	4810796	intergenic_variant	1		3E-6	5.522878745280337				Illumina [2373249] (imputed)	N	attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	GCST001931	Genome-wide genotyping array
