DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2011-06-14	21621269	Aragam N	2011-05-26	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/21621269	Genome-wide association analysis of gender differences in major depressive disorder in the Netherlands NESDA and NTR population-based samples.	Major depressive disorder	1,726 cases, 1,630 controls	NA	7p14.3	7	31115733	ADCYAP1R1	ADCYAP1R1 - LOC107986780	117	107986780		1728	3310	rs1558477-?	rs1558477	0	1558477	intergenic_variant	1		3E-7	6.522878745280337				Perlegen [433556]	N	unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	GCST001083	Genome-wide genotyping array
2011-06-14	21621269	Aragam N	2011-05-26	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/21621269	Genome-wide association analysis of gender differences in major depressive disorder in the Netherlands NESDA and NTR population-based samples.	Major depressive disorder	1,726 cases, 1,630 controls	NA	2p24.1	2	20061924	LAPTM4A	LOC105373463			105373463			rs7565124-?	rs7565124	0	7565124	regulatory_region_variant	0		2E-6	5.698970004336019				Perlegen [433556]	N	unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	GCST001083	Genome-wide genotyping array
2011-06-14	21621269	Aragam N	2011-05-26	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/21621269	Genome-wide association analysis of gender differences in major depressive disorder in the Netherlands NESDA and NTR population-based samples.	Major depressive disorder	1,726 cases, 1,630 controls	NA	10p11.22	10	33968684	PARD3	RPL23P11 - PARD3	100271297	56288		103961	140876	rs1780436-?	rs1780436	0	1780436	intergenic_variant	1		3E-6	5.522878745280337				Perlegen [433556]	N	unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	GCST001083	Genome-wide genotyping array
2011-06-14	21621269	Aragam N	2011-05-26	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/21621269	Genome-wide association analysis of gender differences in major depressive disorder in the Netherlands NESDA and NTR population-based samples.	Major depressive disorder	1,726 cases, 1,630 controls	NA	7q21.11	7	82820719	PCLO	PCLO			27445			rs2715148-?	rs2715148	0	2715148	3_prime_UTR_variant	0		1E-6	6.0				Perlegen [433556]	N	unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	GCST001083	Genome-wide genotyping array
2011-06-14	21621269	Aragam N	2011-05-26	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/21621269	Genome-wide association analysis of gender differences in major depressive disorder in the Netherlands NESDA and NTR population-based samples.	Major depressive disorder	1,726 cases, 1,630 controls	NA	15q21.1	15	48900594	SHC4	SHC4			399694			rs8023445-?	rs8023445	0	8023445	intron_variant	0		2E-6	5.698970004336019				Perlegen [433556]	N	unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	GCST001083	Genome-wide genotyping array
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	15q22.2	15	60974897	RORA	RORA			6095			rs12912233-T	rs12912233	0	12912233	intron_variant	0	0.46	6E-7	6.221848749616356		0.15	[NR] unit increase	Affymetrix, Illumina [up to 2500000] (imputed)	N	unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	GCST000779	Genome-wide genotyping array
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	17q12	17	35516493	SLFN12L	SLFN12L			100506736			rs8070473-T	rs8070473	0	8070473	intron_variant	0	0.32	2E-6	5.698970004336019		0.16	[NR] unit decrease	Affymetrix, Illumina [up to 2500000] (imputed)	N	unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	GCST000779	Genome-wide genotyping array
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	5p14.3	5	19440059	CDH18	HSPD1P15 - CDH18	646273	1016		205854	32871	rs349475-T	rs349475	0	349475	intergenic_variant	1	0.29	2E-6	5.698970004336019		0.18	[NR] unit increase	Affymetrix, Illumina [up to 2500000] (imputed)	N	unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	GCST000779	Genome-wide genotyping array
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	11p15.4	11	7993230	EIF3F	EIF3F			8665			rs12420464-T	rs12420464	0	12420464	intron_variant	0	0.04	3E-6	5.522878745280337		0.38	[NR] unit decrease	Affymetrix, Illumina [up to 2500000] (imputed)	N	unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	GCST000779	Genome-wide genotyping array
2010-09-28	20800221	Terracciano A	2010-08-25	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20800221	Genome-wide association scan of trait depression.	Depression (quantitative trait)	3,972 Sardinian individuals, 839 European ancestry individuals	NA	13q33.3	13	107127968	FAM155A	LOC105370350			105370350			rs1927745-A	rs1927745	0	1927745	intergenic_variant	0	0.24	5E-6	5.301029995663981		0.16	[NR] unit decrease	Affymetrix, Illumina [up to 2500000] (imputed)	N	unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	GCST000779	Genome-wide genotyping array
