DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2015-06-18	25223841	Li J	2014-09-13	Schizophr Res	www.ncbi.nlm.nih.gov/pubmed/25223841	A genetic locus in 7p12.2 associated with treatment resistant schizophrenia.	Schizophrenia (treatment resistant)	79 European ancestry treatment resistant cases, 95 European ancestry non-treatment resistant cases	70 European ancestry treatment resistant cases, 125 European ancestry non-treatment resistant cases	7p12.1	7	50658447	DDC, GRB10, LOC100128600	GRB10			2887			rs2237457-T	rs2237457	0	2237457	intron_variant	0	0.36	6E-7	6.221848749616356	(Recessive model)	1.74	[NR]	Illumina [552419]	N	treatment refractory schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004609	GCST002604	Genome-wide genotyping array
2012-04-24	22479419	Liou YJ	2012-03-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22479419	Genome-wide association study of treatment refractory schizophrenia in Han Chinese.	Schizophrenia (treatment resistant)	522 Han Chinese ancestry cases, 806 Han Chinese ancestry controls	273 Han Chinese ancestry cases	1q23.3	1	160660353	SLAMF1	LOC107985220 - SETP9	107985220	100129738		11942	9798	rs11265461-C	rs11265461	0	11265461	intergenic_variant	1	0.41	2E-7	6.698970004336019		1.45	[1.26-1.67]	Affymetrix [694436]	N	treatment refractory schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004609	GCST001458	Genome-wide genotyping array
2012-04-24	22479419	Liou YJ	2012-03-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22479419	Genome-wide association study of treatment refractory schizophrenia in Han Chinese.	Schizophrenia (treatment resistant)	522 Han Chinese ancestry cases, 806 Han Chinese ancestry controls	273 Han Chinese ancestry cases	4q24	4	102536261	NFKB1	NFKB1			4790			rs230529-T	rs230529	0	230529	intron_variant	0	0.47	2E-7	6.698970004336019		1.45	[1.26-1.66]	Affymetrix [694436]	N	treatment refractory schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004609	GCST001458	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	12q13.13	12	51616324	SCN8A	SCN8A			6334			rs143888465-?	rs143888465	0	143888465	intron_variant	0	NR	4E-6	5.3979400086720375	ANC <1000/mm3	4.94	NR	Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2016-12-13	26876947	Saito T	2016-02-11	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/26876947	Pharmacogenomic Study of Clozapine-Induced Agranulocytosis/Granulocytopenia in a Japanese Population.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	50 Japanese ancestry cases, 2905 Japanese ancestry controls	NA	3p26.1	3	7146429	GRM7	GRM7			2917			rs3749448-A	rs3749448	0	3749448	intron_variant	0	0.2	2E-6	5.698970004336019		2.96	[2.52-3.4]	Illumina [522694]	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003450	Genome-wide genotyping array
2016-12-13	26876947	Saito T	2016-02-11	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/26876947	Pharmacogenomic Study of Clozapine-Induced Agranulocytosis/Granulocytopenia in a Japanese Population.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	50 Japanese ancestry cases, 2905 Japanese ancestry controls	NA	6p21.32	6	32184665	ZDHHC20P2, HCG25, HCG26, LST1, MICA, FKBPL, AGPAT1, PBX2, NOTCH4, C6orf10, MHC, HLA-X, HCP5, MSH5, C6orf26	AGER			177			rs1800625-G	rs1800625	0	1800625	regulatory_region_variant	0	0.084	3E-9	8.522878745280337		3.78	[3.34-4.22]	Illumina [522694]	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003450	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	12p12.2	12	20930928	SLCO1B7, SLCO1B3	SLCO1B3 - SLCO1B7	28234	338821		14017	84768	rs149104283-T	rs149104283	0	149104283	intron_variant	1	0.0152	2E-8	7.698970004336019		4.3198		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	13q31.1	13	83863953	SLITRK1	LOC105370286 - SLITRK1	105370286	114798		46228	13252	rs80208670-C	rs80208670	0	80208670	intergenic_variant	1	0.0124	2E-7	6.698970004336019		4.6904316		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	1p31.1	1	81770721	ADGRL2	ADGRL2			23266			rs184597564-A	rs184597564	0	184597564	intron_variant	0	0.0282	8E-7	6.096910013008056		3.0647		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	7q11.23	7	77339061	GSAP	GSAP			54103			rs78900159-A	rs78900159	0	78900159	intron_variant	0	0.0244	2E-6	5.698970004336019		2.7947		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
2017-02-19	27400856	Legge SE	2016-07-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27400856	Genome-wide common and rare variant analysis provides novel insights into clozapine-associated neutropenia.	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	48 European ancestry cases, 18 European ancestry extreme cases, 5,583 European ancestry controls	161 cases, 249 clozapine-exposed controls, 947 unexposed controls	10q21.2	10	61386789	TMEM26	LOC105378323 - TMEM26	105378323	219623		282933	19853	rs16916041-T	rs16916041	0	16916041	intergenic_variant	1	0.0973	2E-6	5.698970004336019		1.9778		Illumina [7559010] (imputed)	N	drug-induced agranulocytosis, treatment refractory schizophrenia, response to clozapine	http://purl.obolibrary.org/obo/HP_0012235, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST003628	Genome-wide genotyping array
