DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2014-11-01	24684796	Cox AJ	2014-03-11	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/24684796	Heritability and genetic association analysis of cognition in the Diabetes Heart Study.	Cognitive function	423 type 2 diabetes cases and 127 unaffected siblings from 257 families	NA	22q12.1	22	26947491	intergenic	LINC01422 - LOC107985582	101929539	107985582		26880	50637	rs16983214-A	rs16983214	0	16983214	intergenic_variant	1	0.04	2E-6	5.698970004336019	(Stroop)	0.378	[0.23-0.53] unit decrease	Affymetrix [> 371951] (imputed)	N	cognition	http://www.ebi.ac.uk/efo/EFO_0003925	GCST002386	Genome-wide genotyping array
2014-11-01	24684796	Cox AJ	2014-03-11	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/24684796	Heritability and genetic association analysis of cognition in the Diabetes Heart Study.	Cognitive function	423 type 2 diabetes cases and 127 unaffected siblings from 257 families	NA	4q32.3	4	165226560	KLHL2	KLHL2			11275			rs12500138-T	rs12500138	0	12500138	intron_variant	0	0.051	6E-6	5.221848749616356	(Stroop)	0.2839	[0.16-0.41] unit increase	Affymetrix [> 371951] (imputed)	N	cognition	http://www.ebi.ac.uk/efo/EFO_0003925	GCST002386	Genome-wide genotyping array
2014-11-01	24684796	Cox AJ	2014-03-11	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/24684796	Heritability and genetic association analysis of cognition in the Diabetes Heart Study.	Cognitive function	423 type 2 diabetes cases and 127 unaffected siblings from 257 families	NA	8q24.13	8	124685432	MTSS1	MTSS1			9788			rs2116081-T	rs2116081	0	2116081	intron_variant	0	0.429	6E-6	5.221848749616356	(Stroop)	0.1354	[0.077-0.194] unit increase	Affymetrix [> 371951] (imputed)	N	cognition	http://www.ebi.ac.uk/efo/EFO_0003925	GCST002386	Genome-wide genotyping array
2014-11-01	24684796	Cox AJ	2014-03-11	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/24684796	Heritability and genetic association analysis of cognition in the Diabetes Heart Study.	Cognitive function	423 type 2 diabetes cases and 127 unaffected siblings from 257 families	NA	3q13.31	3	117042813	intergenic	PTMAP8 - LOC105374054	728873	105374054		15774	196116	rs1521418-C	rs1521418	0	1521418	intron_variant	1	0.111	8E-6	5.096910013008056	(Stroop)	0.2105	[0.12-0.30] unit decrease	Affymetrix [> 371951] (imputed)	N	cognition	http://www.ebi.ac.uk/efo/EFO_0003925	GCST002386	Genome-wide genotyping array
2014-11-01	24684796	Cox AJ	2014-03-11	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/24684796	Heritability and genetic association analysis of cognition in the Diabetes Heart Study.	Cognitive function	423 type 2 diabetes cases and 127 unaffected siblings from 257 families	NA	20p11.23	20	20868325	RALGAPA2	MRPS11P1 - LOC105372556	128774	105372556		13729	219304	rs6047116-G	rs6047116	0	6047116	intergenic_variant	1	0.351	2E-6	5.698970004336019	(DSST)	3.7872	[2.25-5.32] unit decrease	Affymetrix [> 371951] (imputed)	N	cognition	http://www.ebi.ac.uk/efo/EFO_0003925	GCST002386	Genome-wide genotyping array
2014-11-01	24684796	Cox AJ	2014-03-11	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/24684796	Heritability and genetic association analysis of cognition in the Diabetes Heart Study.	Cognitive function	423 type 2 diabetes cases and 127 unaffected siblings from 257 families	NA	9q31.3	9	109758846	PALM2	PALM2			114299			rs4978848-G	rs4978848	0	4978848	intron_variant	0	0.495	3E-6	5.522878745280337	(DSST)	3.6321	[2.12-5.15] unit decrease	Affymetrix [> 371951] (imputed)	N	cognition	http://www.ebi.ac.uk/efo/EFO_0003925	GCST002386	Genome-wide genotyping array
2014-11-01	24684796	Cox AJ	2014-03-11	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/24684796	Heritability and genetic association analysis of cognition in the Diabetes Heart Study.	Cognitive function	423 type 2 diabetes cases and 127 unaffected siblings from 257 families	NA	9q21.33	9	87544398	DAPK1	DAPK1			1612			rs1421001-A	rs1421001	0	1421001	intron_variant	0	0.214	4E-6	5.3979400086720375	(DSST)	4.3211	[2.49-6.15] unit increase	Affymetrix [> 371951] (imputed)	N	cognition	http://www.ebi.ac.uk/efo/EFO_0003925	GCST002386	Genome-wide genotyping array
2014-11-01	24684796	Cox AJ	2014-03-11	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/24684796	Heritability and genetic association analysis of cognition in the Diabetes Heart Study.	Cognitive function	423 type 2 diabetes cases and 127 unaffected siblings from 257 families	NA	4p14	4	39285329	WDR19	WDR19			57728			rs11096990-T	rs11096990	0	11096990	intron_variant	0	0.342	6E-7	6.221848749616356	(3MSE)	2.0117	[1.23-2.79] unit decrease	Affymetrix [> 371951] (imputed)	N	cognition	http://www.ebi.ac.uk/efo/EFO_0003925	GCST002386	Genome-wide genotyping array
2014-11-01	24684796	Cox AJ	2014-03-11	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/24684796	Heritability and genetic association analysis of cognition in the Diabetes Heart Study.	Cognitive function	423 type 2 diabetes cases and 127 unaffected siblings from 257 families	NA	7p15.2	7	26566386	C7orf71	LOC100506289			100506289			rs7800418-T	rs7800418	0	7800418	intergenic_variant	0	0.324	7E-7	6.154901959985743	(3MSE)	1.9628	[1.20-2.73] unit decrease	Affymetrix [> 371951] (imputed)	N	cognition	http://www.ebi.ac.uk/efo/EFO_0003925	GCST002386	Genome-wide genotyping array
2014-11-01	24684796	Cox AJ	2014-03-11	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/24684796	Heritability and genetic association analysis of cognition in the Diabetes Heart Study.	Cognitive function	423 type 2 diabetes cases and 127 unaffected siblings from 257 families	NA	12q24.33	12	132841216	CHFR	CHFR			55743			rs3741489-C	rs3741489	0	3741489	3_prime_UTR_variant	0	0.005	2E-6	5.698970004336019	(3MSE)	13.9397	[8.26-19.61] unit decrease	Affymetrix [> 371951] (imputed)	N	cognition	http://www.ebi.ac.uk/efo/EFO_0003925	GCST002386	Genome-wide genotyping array
